inputs,outputs,nb_plays-0-units-0-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-3-diff,nb_plays-0-units-64-ensemble-3-diff,hnn-diff,lstm-diff,sorted-hnn-diff,sorted-lstm-diff,,,
324,18,20.426,15.385,5.885476,6.838225,2.477476,11.276164,,,
325,31,16.545,12.095,208.947025,357.399025,2.374681,11.262736,,,
326,49,56.845,35.751,61.544025,175.536001,2.3716,11.0889,,,
327,9,5.968,16.977,9.193024,63.632529,2.241009,10.9561,,,
328,-10,-8.355,-10.529,2.706025,0.279841,2.196324,10.850436,,,
329,3,4.02,14.682,1.0404,136.469124,2.196324,10.712529,,,
330,18,34.718,44.889,279.491524,723.018321,2.187441,10.653696,,,
331,-20,-15.134,-8.816,23.677956,125.081856,2.105401,10.4329,,,
332,-7,-4.646,-8.529,5.541316,2.337841,2.082249,9.891025,,,
333,15,13.041,25.039,3.837681,100.781521,2.064969,9.659664,,,
334,-10,-8.254,-5.346,3.048516,21.659716,2.013561,9.529569,,,
335,-35,-29.026,-27.159,35.688676,61.481281,2.013561,9.2416,,,
336,-8,-6.767,-25.112,1.520289,292.820544,1.926544,8.838729,,,
337,-22,-9.43,-16.196,158.0049,33.686416,1.819801,8.803089,,,
338,-24,-12.168,-22.615,139.996224,1.918225,1.790244,7.102225,,,
339,-6,-12.769,-9.407,45.819361,11.607649,1.790244,6.838225,,,
340,25,22.658,13.827,5.484964,124.835929,1.755625,6.744409,,,
341,-34,-35.731,-19.523,2.996361,209.583529,1.747684,6.245001,,,
342,10,10.908,2.763,0.824464,52.374169,1.605289,5.588496,,,
343,-33,-34.877,-14.296,3.523129,349.839616,1.552516,5.456896,,,
344,-31,-21.24,-11.789,95.2576,369.062521,1.520289,5.112121,,,
345,38,23.824,9.033,200.958976,839.087089,1.387684,5.004169,,,
346,6,10.376,6.027,19.149376,0.000729,1.364224,4.818025,,,
347,-7,-3.831,-5.376,10.042561,2.637376,1.361889,4.791721,,,
348,-37,-30.369,-11.068,43.970161,672.468624,1.313316,3.8416,,,
349,-18,-14.214,-6.676,14.333796,128.232976,1.227664,3.833764,,,
350,15,4.337,3.578,113.699569,130.462084,1.0404,3.651921,,,
351,-15,-4.337,-7.89,113.699569,50.5521,1.036324,3.526884,,,
352,-37,-59.531,-20.098,507.645961,285.677604,1.004004,3.481956,,,
353,6,4.18,-5.733,3.3124,137.663289,1,3.470769,,,
354,30,28.104,15.161,3.594816,220.195921,1,3.455881,,,
355,-24,-23.056,-19.397,0.891136,21.187609,1,3.308761,,,
356,18,13.259,11.268,22.477081,45.319824,0.956484,3.069504,,,
357,3,4.722,-0.356,2.965284,11.262736,0.891136,2.775556,,,
358,11,10.661,9.248,0.114921,3.069504,0.8464,2.775556,,,
359,-20,-12.639,-10.437,54.184321,91.450969,0.8281,2.679769,,,
360,13,7.818,9.153,26.853124,14.799409,0.826281,2.637376,,,
361,27,17.216,4.016,95.726656,528.264256,0.824464,2.637376,,,
362,11,6.516,8.739,20.106256,5.112121,0.822649,2.337841,,,
363,12,13.246,3.625,1.552516,70.140625,0.753424,2.268036,,,
364,19,18.181,11.492,0.670761,56.370064,0.741321,1.9321,,,
365,69,60.772,28.516,67.699984,1638.954256,0.680625,1.918225,,,
366,-8,-9.883,-4.69,3.545689,10.9561,0.670761,1.857769,,,
367,-18,-11.187,-6.139,46.416969,140.683321,0.617796,1.836025,,,
368,32,26.161,20.846,34.093921,124.411716,0.580644,1.825201,,,
369,-28,-24.028,-15.211,15.776784,163.558521,0.540225,1.8225,,,
370,5,3.288,0.727,2.930944,18.258529,0.506944,1.798281,,,
371,-41,-34.396,-14.002,43.612816,728.892004,0.487204,1.679616,,,
372,-11,-6.613,-9.122,19.245769,3.526884,0.484416,1.520289,,,
373,-20,-13.827,-4.518,38.105929,239.692324,0.459684,1.5129,,,
374,-26,-20.97,-7.949,25.3009,325.838601,0.352836,1.444804,,,
375,-15,-19.713,-9.873,22.212369,26.286129,0.346921,1,,,
376,27,17.96,8.561,81.7216,339.996721,0.326041,0.879844,,,
377,-55,-44.988,-22.942,100.240144,1027.715364,0.320356,0.879844,,,
378,11,11.28,6.832,0.0784,17.372224,0.311364,0.806404,,,
