inputs,outputs,nb_plays-0-units-0-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-3-diff,nb_plays-0-units-64-ensemble-3-diff,hnn-diff,lstm-diff,sorted-hnn-diff,sorted-lstm-diff,,,
1,10,12.405,-3.958,5.784025,194.825764,2388.179161,3069.270801,,,
2,-25,-23.982,-38.909,1.036324,193.460281,2301.600625,2656.783936,,,
3,9,3.102,-9.028,34.786404,325.008784,1256.064481,2618.266561,,,
4,3,4.497,-13.88,2.241009,284.9344,1008.824644,2352.638016,,,
5,-39,-29.899,-44.634,82.828201,31.741956,994.708521,2292.015625,,,
6,6,0,-18.982,36,624.100324,507.645961,1969.406884,,,
7,-27,-6.315,-21.22,427.869225,33.4084,488.763664,1725.322369,,,
8,-6,-13.157,-10.443,51.222649,19.740249,465.825889,1638.954256,,,
9,26,13.879,3.462,146.918641,507.961444,433.8889,1270.280881,,,
10,16,16.038,7.332,0.001444,75.134224,427.869225,1199.9296,,,
11,17,18.62,10.79,2.6244,38.5641,420.537049,1105.296516,,,
12,1,2.97,13.969,3.8809,168.194961,406.909584,1097.729424,,,
13,-12,-8.667,-5.829,11.108889,38.081241,403.126084,1033.493904,,,
14,-38,-31.416,-3.36,43.349056,1199.9296,331.531264,1027.715364,,,
15,16,4.349,2.066,135.745801,194.156356,313.360804,1026.177156,,,
16,-40,-22.298,-6.868,313.360804,1097.729424,306.005049,1019.461041,,,
17,4,0,-0.752,16,22.581504,296.321796,1007.808516,,,
18,-33,-42.574,-15.927,91.661476,291.487329,289.646361,991.368196,,,
19,-11,-10.729,-10.264,0.073441,0.541696,279.491524,927.994369,,,
20,11,8.213,2.416,7.767369,73.685056,252.460321,919.241761,,,
21,-21,-18.684,-13.076,5.363856,62.789776,242.1136,903.904225,,,
22,-9,-9.23,-9.812,0.0529,0.659344,233.845264,874.917241,,,
23,-4,-10.856,-9.169,47.004736,26.718561,233.203441,839.087089,,,
24,-35,-42.83,-22.199,61.3089,163.865601,229.2196,824.321521,,,
25,-7,-1.415,-6.578,31.192225,0.178084,217.621504,804.516496,,,
26,-14,-7.215,-4.727,46.036225,85.988529,214.563904,788.542561,,,
27,-12,-21.868,-10.704,97.377424,1.679616,208.947025,788.317929,,,
28,-19,-6.592,-7.084,153.958464,141.991056,208.860304,728.892004,,,
29,15,13.063,9.876,3.751969,26.255376,206.324496,723.018321,,,
30,-5,-6.541,-11.776,2.374681,45.914176,200.958976,722.910769,,,
31,-10,-6.522,-11.233,12.096484,1.520289,198.443569,720.3856,,,
32,7,11.39,5.61,19.2721,1.9321,191.517921,698.386329,,,
33,-16,-24.563,-21.716,73.324969,32.672656,191.379556,672.468624,,,
34,-20,-8.677,-13.199,128.210329,46.253601,187.115041,645.312409,,,
35,24,59.441,23.29,1256.064481,0.5041,185.313769,637.461504,,,
36,-4,-3.304,-8.406,0.484416,19.412836,175.774564,624.100324,,,
37,-4,-1.721,-3.227,5.193841,0.597529,175.615504,615.387249,,,
38,-4,-1.958,-4.721,4.169764,0.519841,175.615504,596.141056,,,
39,-23,-14.799,-6.849,67.256401,260.854801,175.615504,584.430625,,,
40,21,10.061,8.147,119.661721,165.199609,175.403536,569.347321,,,
41,64,68.364,15.496,19.044496,2352.638016,166.1521,555.686329,,,
42,-13,-12.457,-6.284,0.294849,45.104656,158.0049,549.949401,,,
43,10,8.142,7.501,3.452164,6.245001,153.958464,547.700409,,,
44,23,37.452,10.273,208.860304,161.976529,147.185424,546.390625,,,
45,-16,-11.454,-1.93,20.666116,197.9649,146.918641,546.250384,,,
46,-30,-28.651,-6.597,1.819801,547.700409,144.384256,528.264256,,,
47,-11,-8.523,-2.586,6.135529,70.795396,139.996224,522.259609,,,
48,-18,-12.576,-2.987,29.419776,225.390169,139.452481,518.9284,,,
49,-4,-2.388,-3.062,2.598544,0.879844,137.663289,507.961444,,,
50,-23,-17.667,-5.495,28.440889,306.425025,135.745801,495.463081,,,
51,-12,-9.501,-6.631,6.245001,28.826161,135.745801,486.158401,,,
52,42,26.86,11.537,229.2196,927.994369,132.549169,482.593024,,,
53,-28,-18.278,-12.304,94.517284,246.364416,128.210329,470.282596,,,
54,-3,-1.327,-1.141,2.798929,3.455881,127.057984,463.1104,,,
55,24,14.355,10.286,93.026025,188.073796,124.657225,456.164164,,,
56,-29,-17.191,-10.168,139.452481,354.644224,123.854641,430.5625,,,
57,14,7.022,8.972,48.692484,25.280784,120.956004,407.757249,,,
58,4,1.502,-0.214,6.240004,17.757796,120.1216,401.441296,,,
59,-10,-5.355,-6.607,21.576025,11.512449,119.661721,392.990976,,,
60,2,2.558,3.355,0.311364,1.836025,117.917881,387.893025,,,
61,-24,-20.976,-13.271,9.144576,115.111441,117.896164,387.6961,,,
62,15,7.884,8.797,50.637456,38.477209,116.229961,372.914721,,,
63,35,23.835,6.919,124.657225,788.542561,113.699569,369.062521,,,
64,-22,-13.028,-8.936,80.496784,170.668096,113.699569,361.532196,,,
65,17,10.885,10.081,37.393225,47.872561,111.471364,359.519521,,,
66,-17,-10.885,-9.055,37.393225,63.123025,103.591684,359.178304,,,
67,17,10.885,11.016,37.393225,35.808256,101.646724,357.399025,,,
68,62,43.792,10.831,331.531264,2618.266561,100.240144,354.644224,,,
69,28,42.364,8.689,206.324496,372.914721,97.831881,349.839616,,,
70,17,7.162,9.132,96.786244,61.905424,97.377424,349.241344,,,
71,-6,0,0.423,36,41.254929,96.786244,348.718276,,,
72,1,0,8.233,1,52.316289,96.373489,339.996721,,,
73,-22,-13.748,-5.09,68.095504,285.9481,95.726656,330.5124,,,
74,-7,-9.694,2.738,7.257636,94.828644,95.2576,325.838601,,,
75,34,23.442,3.935,111.471364,903.904225,94.517284,325.008784,,,
76,-27,-13.748,1.364,175.615504,804.516496,94.342369,322.813089,,,
77,27,13.748,2.825,175.615504,584.430625,93.1225,307.265841,,,
78,22,21.434,11.008,0.320356,120.824064,93.026025,306.425025,,,
79,-13,-4.295,-3.814,75.777025,84.382596,92.236816,306.25,,,
80,31,23.712,15.258,53.114944,247.810564,92.236816,299.947761,,,
81,36,36.44,11.193,0.1936,615.387249,92.217609,294.568569,,,
82,-2,-1.48,11.333,0.2704,177.768889,91.661476,292.820544,,,
83,16,5.918,12.046,101.646724,15.634116,88.472836,291.487329,,,
84,5,4.411,16.877,0.346921,141.063129,87.123556,286.117225,,,
85,-15,-13.136,-0.923,3.474496,198.161929,86.843761,285.9481,,,
86,-10,-11.959,3.015,3.837681,169.390225,86.787856,285.677604,,,
87,39,33.474,27.205,30.536676,139.122025,86.750596,284.9344,,,
88,16,18.149,31.762,4.618201,248.440644,82.828201,280.127169,,,
89,-12,-9.733,7.014,5.139289,361.532196,81.757764,261.177921,,,
90,4,4.19,29.248,0.0361,637.461504,81.7216,260.854801,,,
91,22,14.064,25.358,62.980096,11.276164,80.496784,256.128016,,,
92,-22,-16.046,-6.618,35.450116,236.605924,79.245604,248.440644,,,
93,22,16.046,15.713,35.450116,39.526369,79.156609,247.810564,,,
94,25,15.686,14.618,86.750596,107.785924,76.003524,247.307076,,,
95,21,8.984,4.996,144.384256,256.128016,75.777025,246.584209,,,
96,-15,-11.631,-18.23,11.350161,10.4329,74.390625,246.364416,,,
97,8,6.581,8.938,2.013561,0.879844,74.063236,239.692324,,,
98,-31,-21.287,-18.453,94.342369,157.427209,74.028816,236.605924,,,
99,12,9.671,7.691,5.424241,18.567481,73.736569,225.390169,,,
100,26,16.666,23.664,87.123556,5.456896,73.324969,222.487056,,,
101,28,10.786,15.749,296.321796,150.087001,68.095504,220.195921,,,
102,10,8.123,15.979,3.523129,35.748441,67.699984,209.583529,,,
103,49,17.461,31.681,994.708521,299.947761,67.256401,208.600249,,,
104,7,1.209,15.214,33.535681,67.469796,64.899136,206.410689,,,
105,-18,-13.012,-10.413,24.880144,57.562569,62.980096,205.9225,,,
106,-51,-39.487,-33.837,132.549169,294.568569,62.853184,203.832729,,,
107,22,15.233,15.578,45.792289,41.242084,62.378404,202.037796,,,
108,11,7.978,21.913,9.132484,119.093569,62.110161,201.384481,,,
109,15,6.944,19.911,64.899136,24.117921,61.544025,201.015684,,,
110,7,10.062,11.021,9.375844,16.168441,61.324561,198.161929,,,
111,4,5.803,13.587,3.250809,91.910569,61.3089,197.9649,,,
112,-33,-21.871,-20.849,123.854641,147.646801,61.136761,197.374401,,,
113,16,12.724,20.744,10.732176,22.505536,58.110129,194.825764,,,
114,-16,-12.724,-14.798,10.732176,1.444804,58.110129,194.156356,,,
115,3,1.612,4.866,1.926544,3.481956,57.790404,193.460281,,,
116,-9,-12.13,-12.76,9.7969,14.1376,56.957209,188.265841,,,
117,8,6.581,11.273,2.013561,10.712529,56.130064,188.073796,,,
118,14,6.398,9.258,57.790404,22.486564,54.3169,186.540964,,,
119,17,19.41,17.323,5.8081,0.104329,54.184321,184.96,,,
120,8,1.048,6.137,48.330304,3.470769,53.114944,184.443561,,,
121,16,8.872,14.181,50.808384,3.308761,51.222649,183.033841,,,
122,22,6.111,13.06,252.460321,79.9236,50.808384,180.176929,,,
123,23,2.828,11.014,406.909584,143.664196,50.637456,177.768889,,,
124,4,1.84,8.311,4.6656,18.584721,50.523664,177.129481,,,
125,18,2.708,8.796,233.845264,84.713616,50.523664,176.225625,,,
126,-15,-17.206,-27.447,4.866436,154.927809,50.523664,175.536001,,,
127,18,18.097,31.04,0.009409,170.0416,48.692484,170.668096,,,
128,-21,-19.678,-34.581,1.747684,184.443561,48.553024,170.406916,,,
129,-18,-7.822,-8.985,103.591684,81.270225,48.330304,170.0416,,,
130,29,18.04,26.811,120.1216,4.791721,47.004736,169.390225,,,
131,12,5.885,7.75,37.393225,18.0625,46.881409,168.714121,,,
132,-49,-28.922,-40.427,403.126084,73.496329,46.689889,168.194961,,,
133,-28,-32.458,-22.034,19.873764,35.593156,46.457856,165.199609,,,
134,-21,-11.109,-10.13,97.831881,118.1569,46.416969,163.865601,,,
135,3,1.46,-7.352,2.3716,107.163904,46.036225,163.558521,,,
136,43,32.219,21.642,116.229961,456.164164,45.819361,162.766564,,,
137,-15,-11.63,-17.973,11.3569,8.838729,45.819361,161.976529,,,
138,46,28.981,27.048,289.646361,359.178304,45.805824,161.493264,,,
139,-8,-10.273,-13.932,5.166529,35.188624,45.792289,157.427209,,,
140,8,10.273,16.933,5.166529,79.798489,44.116164,157.151296,,,
141,9,6.851,10.35,4.618201,1.8225,43.970161,154.927809,,,
142,39,25.166,36.403,191.379556,6.744409,43.705321,153.660816,,,
143,25,3.417,9.297,465.825889,246.584209,43.652449,150.087001,,,
144,-4,-21.493,-36.148,306.005049,1033.493904,43.612816,147.646801,,,
145,8,11.077,20.989,9.467929,168.714121,43.349056,143.7601,,,
146,-38,-29.282,-41.33,76.003524,11.0889,42.3801,143.664196,,,
147,-5,-7.702,-12.664,7.300804,58.736896,42.211009,141.991056,,,
148,-6,-10.738,-11.169,22.448644,26.718561,41.925625,141.063129,,,
149,13,9.492,10.805,12.306064,4.818025,41.177889,140.683321,,,
150,-13,-9.492,-19.176,12.306064,38.142976,41.165056,139.122025,,,
151,-32,-25.503,-18.946,42.211009,170.406916,40.742689,137.663289,,,
152,28,19.413,20.479,73.736569,56.565441,38.105929,136.913401,,,
153,29,16.11,14.822,166.1521,201.015684,37.9456,136.469124,,,
154,29,22.358,19.939,44.116164,82.101721,37.393225,131.652676,,,
155,49,35.742,52.108,175.774564,9.659664,37.393225,130.462084,,,
156,37,5.238,13.427,1008.824644,555.686329,37.393225,128.459556,,,
157,-54,-102.869,-85.929,2388.179161,1019.461041,37.393225,128.232976,,,
158,-15,-17.231,-25.783,4.977361,116.273089,36,125.126596,,,
159,9,10.643,0.335,2.699449,75.082225,36,125.081856,,,
160,-3,-3.267,-23.036,0.071289,401.441296,35.820225,124.835929,,,
161,7,8.479,-0.456,2.187441,55.591936,35.688676,124.411716,,,
162,-6,-3.218,-16.546,7.739524,111.218116,35.450116,123.765625,,,
163,-44,-45.642,-42.334,2.696164,2.775556,35.450116,120.824064,,,
164,-10,-14.378,-38.077,19.166884,788.317929,34.786404,119.661721,,,
165,-22,-7.248,-33.186,217.621504,125.126596,34.398225,119.093569,,,
166,16,4.349,-17.246,135.745801,1105.296516,34.093921,118.1569,,,
167,-40,-26.161,-18.314,191.517921,470.282596,33.779344,117.332224,,,
168,8,0.377,-15.451,58.110129,549.949401,33.535681,116.273089,,,
169,19,13.371,-4.861,31.685641,569.347321,32.364721,115.111441,,,
170,-10,-0.396,-11.624,92.236816,2.637376,31.685641,111.218116,,,
171,-4,-3.954,-6.364,0.002116,5.588496,31.192225,109.725625,,,
172,-21,-28.881,-11.288,62.110161,94.322944,30.625156,109.077136,,,
173,-29,-26.972,-7.48,4.112784,463.1104,30.536676,107.785924,,,
174,-16,-11.724,-11.14,18.284176,23.6196,30.272004,107.163904,,,
175,-26,-15.002,-17.713,120.956004,68.674369,29.419776,106.007616,,,
176,-11,-6.693,-16.603,18.550249,31.393609,28.686736,105.760656,,,
177,-13,-9.108,-9.736,15.147664,10.653696,28.440889,105.185536,,,
178,3,2.429,2.361,0.326041,0.408321,26.853124,104.816644,,,
179,11,10.139,7.275,0.741321,13.875625,25.867396,100.781521,,,
180,-32,-20.728,-11.807,127.057984,407.757249,25.3009,96.8256,,,
181,-11,-7.325,-1.369,13.505625,92.756161,25.130169,94.828644,,,
182,-13,-6.617,-4.517,40.742689,71.961289,24.880144,94.322944,,,
183,20,12.892,12.427,50.523664,57.350329,24.088464,93.161104,,,
184,-20,-12.892,-11.636,50.523664,69.956496,23.863225,92.756161,,,
185,29,21.508,15.342,56.130064,186.540964,23.677956,92.582884,,,
186,-7,-9.158,-7.393,4.656964,0.154449,22.877089,92.179201,,,
187,34,33.265,15.82,0.540225,330.5124,22.477081,91.910569,,,
188,32,25.584,9.741,41.165056,495.463081,22.4676,91.718929,,,
189,-12,-6.914,-2.439,25.867396,91.412721,22.4676,91.450969,,,
190,23,20.299,11.666,7.295401,128.459556,22.448644,91.412721,,,
191,-1,0,0.351,1,1.825201,22.212369,88.003161,,,
192,23,13.958,9.471,81.757764,183.033841,22.09,85.988529,,,
193,-37,-27.594,-8.289,88.472836,824.321521,22.052416,84.713616,,,
194,7,3.086,5.637,15.319396,1.857769,21.576025,84.382596,,,
195,15,13.557,4.744,2.082249,105.185536,20.666116,83.887281,,,
196,-23,-20.259,-6.263,7.513081,280.127169,20.196036,83.740801,,,
197,-28,-22.135,-10.033,34.398225,322.813089,20.106256,82.101721,,,
198,-13,-9.457,-9.148,12.552849,14.837904,19.873764,81.270225,,,
199,-28,-21.583,-11.839,41.177889,261.177921,19.492225,80.084601,,,
200,-11,-12.325,-10.592,1.755625,0.166464,19.2721,79.9236,,,
201,15,14.091,10.421,0.826281,20.967241,19.245769,79.798489,,,
202,10,9.09,4.884,0.8281,26.173456,19.166884,78.605956,,,
203,-4,-2.518,-3.515,2.196324,0.235225,19.149376,77.951241,,,
204,1,0.175,2.911,0.680625,3.651921,19.149376,77.44,,,
205,-10,-9.022,-8.363,0.956484,2.679769,19.044496,75.134224,,,
206,13,11.365,8.782,2.673225,17.791524,18.550249,75.082225,,,
207,-25,-23.181,-17.283,3.308761,59.552089,18.284176,73.685056,,,
208,-3,-1.832,-3.157,1.364224,0.024649,17.539344,73.496329,,,
209,20,12.892,9.762,50.523664,104.816644,16,71.961289,,,
210,-10,-7.711,-6.319,5.239521,13.549761,16,70.795396,,,
211,-25,-11.387,-7.5,185.313769,306.25,15.872256,70.174129,,,
212,31,16.913,12.326,198.443569,348.718276,15.776784,70.140625,,,
213,12,9.057,3.691,8.661249,69.039481,15.437041,69.956496,,,
214,-10,-10.36,-6.913,0.1296,9.529569,15.319396,69.572281,,,
215,8,8.192,7.942,0.036864,0.003364,15.147664,69.039481,,,
216,-11,-9.36,-7.182,2.6896,14.577124,14.915044,68.674369,,,
217,20,18.358,11.171,2.696164,77.951241,14.333796,68.095504,,,
218,5,3.549,4.582,2.105401,0.174724,14.235529,67.469796,,,
219,11,10.772,3.608,0.051984,54.641664,13.883076,66.7489,,,
220,16,12.361,7.659,13.242321,69.572281,13.630864,65.966884,,,
221,18,16.892,3.557,1.227664,208.600249,13.505625,64.786401,,,
222,55,41.321,13.463,187.115041,1725.322369,13.315201,63.632529,,,
223,45,47.577,15.421,6.640929,874.917241,13.300609,63.123025,,,
224,-6,-5.591,4.939,0.167281,119.661721,13.2496,63.0436,,,
225,-27,-20.393,-0.16,43.652449,720.3856,13.242321,62.789776,,,
226,22,17.585,15.179,19.492225,46.526041,12.552849,61.905424,,,
227,29,21.181,19.399,61.136761,92.179201,12.517444,61.481281,,,
228,16,22.475,22.985,41.925625,48.790225,12.306064,59.552089,,,
229,11,8.122,24.275,8.282884,176.225625,12.306064,59.367025,,,
230,-18,-16.662,-10.595,1.790244,54.834025,12.096484,58.736896,,,
231,-17,-12.506,-2.65,20.196036,205.9225,11.985444,58.247424,,,
232,-40,-30.183,-13.113,96.373489,722.910769,11.3569,57.562569,,,
233,-30,-20.684,-7.22,86.787856,518.9284,11.350161,57.350329,,,
234,-24,-20.838,-9.951,9.998244,197.374401,11.108889,56.565441,,,
235,27,13.748,7.31,175.615504,387.6961,10.850436,56.370064,,,
236,-14,-4.35,-7.613,93.1225,40.793769,10.732176,55.591936,,,
237,9,0.396,5.235,74.028816,14.175225,10.732176,54.834025,,,
238,30,30.594,8.032,0.352836,482.593024,10.491121,54.641664,,,
239,13,13.762,12.581,0.580644,0.175561,10.042561,52.374169,,,
240,-15,-10.217,-7.295,22.877089,59.367025,10.042561,52.316289,,,
241,-11,-10.132,-4.191,0.753424,46.362481,9.998244,50.5521,,,
242,17,8.103,5.875,79.156609,123.765625,9.7969,48.790225,,,
243,-3,0,-0.335,9,7.102225,9.467929,47.872561,,,
244,39,30.375,16.147,74.390625,522.259609,9.375844,46.526041,,,
245,-11,-13.379,-8.033,5.659641,8.803089,9.193024,46.362481,,,
246,-32,-21.142,-8.628,117.896164,546.250384,9.144576,46.253601,,,
247,-15,-11.761,-7.06,10.491121,63.0436,9.132484,45.914176,,,
248,10,0.396,1.83,92.236816,66.7489,9.012004,45.319824,,,
249,-32,-19.868,-8.625,147.185424,546.390625,9,45.104656,,,
250,-25,-25.026,-11.279,0.000676,188.265841,8.661249,44.796249,,,
251,22,16.644,7.633,28.686736,206.410689,8.536167632,44.315649,,,
252,29,22.153,4.584,46.881409,596.141056,8.282884,43.520409,,,
253,20,24.376,13.474,19.149376,42.588676,7.767369,42.588676,,,
254,23,15.169,9.577,61.324561,180.176929,7.739524,42.406144,,,
255,48,41.032,21.573,48.553024,698.386329,7.513081,41.912676,,,
256,-18,-16.662,-11.343,1.790244,44.315649,7.491169,41.796225,,,
257,2,1.48,2.367,0.2704,0.134689,7.300804,41.796225,,,
258,-13,-10.474,-6.535,6.380676,41.796225,7.295401,41.254929,,,
259,-21,-15.498,-10.168,30.272004,117.332224,7.257636,41.242084,,,
260,7,3.831,6.436,10.042561,0.318096,6.9169,40.793769,,,
261,4,2.261,0.96,3.024121,9.2416,6.801664,39.526369,,,
262,23,24.167,14.748,1.361889,68.095504,6.640929,38.5641,,,
263,-3,-2.871,-3.898,0.016641,0.806404,6.380676,38.477209,,,
264,1,0,4.294,1,10.850436,6.245001,38.142976,,,
265,28,29.574,19.2,2.477476,77.44,6.240004,38.081241,,,
266,22,25.773,27.886,14.235529,34.644996,6.190144,35.808256,,,
267,34,54.507,89.401,420.537049,3069.270801,6.135529,35.748441,,,
268,11,9.094,46.641,3.632836,1270.280881,6.031936,35.593156,,,
269,7,1.188,8.341,33.779344,1.798281,6.0025,35.188624,,,
270,-1,-48.975,-52.544,2301.600625,2656.783936,5.885476,35.141184,,,
271,5,9.885,8.711,23.863225,13.771521,5.8081,35.129329,,,
272,-43,-51.902,-33.16,79.245604,96.8256,5.784025,34.644996,,,
273,39,28.141,16.951,117.917881,486.158401,5.659641,33.686416,,,
274,26,10.729,5.25,233.203441,430.5625,5.541316,33.4084,,,
275,-45,-29.44,-32.292,242.1136,161.493264,5.484964,32.787076,,,
276,-44,-21.892,-24.305,488.763664,387.893025,5.424241,32.672656,,,
277,-34,-43.319,-40.474,86.843761,41.912676,5.363856,31.741956,,,
278,4,0,-43.875,16,2292.015625,5.239521,31.719424,,,
279,-12,-14.146,-44.034,4.605316,1026.177156,5.193841,31.393609,,,
280,-50,-29.17,-31.312,433.8889,349.241344,5.166529,28.826161,,,
281,-24,-37.244,-25.666,175.403536,2.775556,5.166529,28.826161,,,
282,-31,-24.232,-17.691,45.805824,177.129481,5.139289,27.175369,,,
283,-19,-11.63,-14.657,54.3169,18.861649,4.977361,26.718561,,,
284,-10,-7.263,-4.368,7.491169,31.719424,4.866436,26.718561,,,
285,15,13.998,8.535,1.004004,41.796225,4.6656,26.286129,,,
286,-6,-4.18,-3.763,3.3124,5.004169,4.656964,26.255376,,,
287,-20,-13.231,-8.01,45.819361,143.7601,4.618201,26.173456,,,
288,1,0.936,2,0.004096,1,4.618201,25.280784,,,
289,-17,-10.49,-7.619,42.3801,88.003161,4.605316,24.780484,,,
290,-10,-8.386,-4.274,2.604996,32.787076,4.169764,24.117921,,,
291,8,8.47,8.401,0.2209,0.160801,4.112784,23.6196,,,
292,10,6.353,4.787,13.300609,27.175369,3.8809,23.512801,,,
293,-2,-1.302,-3.23,0.487204,1.5129,3.837681,22.581504,,,
294,13,9.138,8.022,14.915044,24.780484,3.837681,22.505536,,,
295,-8,-8.082,-7.508,0.006724,0.242064,3.751969,22.486564,,,
296,4,2.518,5.96,2.196324,3.8416,3.632836,21.659716,,,
297,-22,-15.389,-12.423,43.705321,91.718929,3.594816,21.187609,,,
298,13,9.36,9.855,13.2496,9.891025,3.545689,20.967241,,,
299,27,21.311,10.085,32.364721,286.117225,3.523129,19.740249,,,
300,21,18.512,8.464,6.190144,157.151296,3.523129,19.483396,,,
301,-18,-13.26,-4.4,22.4676,184.96,3.474496,19.412836,,,
302,18,13.26,9.623,22.4676,70.174129,3.452164,18.861649,,,
303,23,19.538,8.084,11.985444,222.487056,3.411409,18.584721,,,
304,-9,-0.394,0.652,74.063236,93.161104,3.3124,18.567481,,,
305,29,14.352,10.039,214.563904,359.519521,3.3124,18.258529,,,
306,44,39.812,13.681,17.539344,919.241761,3.308761,18.0625,,,
307,-51,-39.267,-6.622,137.663289,1969.406884,3.250809,17.791524,,,
308,-7,-5.563,1.049,2.064969,64.786401,3.048516,17.757796,,,
309,8,0.377,2.073,58.110129,35.129329,3.024121,17.372224,,,
310,5,3.854,6.506,1.313316,2.268036,2.996361,16.168441,,,
311,7,4.544,1.631,6.031936,28.826161,2.965284,15.634116,,,
312,11,10.322,9.042,0.459684,3.833764,2.930944,14.837904,,,
313,27,25.733,9.471,1.605289,307.265841,2.798929,14.799409,,,
314,-25,-17.102,0.403,62.378404,645.312409,2.706025,14.72352039,,,
315,34,30.274,14.176,13.883076,392.990976,2.699449,14.577124,,,
316,-11,-6.092,3.214,24.088464,202.037796,2.696164,14.175225,,,
317,-39,-31.072,-7.514,62.853184,991.368196,2.696164,14.1376,,,
318,-18,-22.696,-6.526,22.052416,131.652676,2.6896,13.875625,,,
319,-25,-19.987,-12.604,25.130169,153.660816,2.673225,13.771521,,,
320,26,23.55,11.723,6.0025,203.832729,2.673225,13.549761,,,
321,18,11.184,2.274,46.457856,247.307076,2.6244,12.257001,,,
322,21,17.016,11.378,15.872256,92.582884,2.604996,11.607649,,,
323,17,16.08,8.051,0.8464,80.084601,2.598544,11.512449,,,
