,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
169,43.487,6.648,2.111,6.905
170,43.423,5.876,2.103,5.804
171,43.36,7.453,2.094,5.898
172,43.297,8.352,2.086,6.515
173,43.234,6.814,2.078,6.816
174,43.171,5.84,2.07,7.101
175,43.109,7.094,2.062,7.326
176,43.046,7.025,2.054,6.34
177,42.984,4.62,2.046,6.116
178,42.923,5.607,2.039,7.245
179,42.861,6.853,2.031,5.59
180,42.8,5.911,2.024,6.458
181,42.739,5.298,2.016,7.848
182,42.678,5.725,2.009,5.295
183,42.617,5.085,2.002,6.745
184,42.557,6.515,1.995,7.602
185,42.497,6.043,1.988,6.711
186,42.437,5.636,1.981,8.232
187,42.377,6.165,1.974,5.955
188,42.318,6.346,1.967,7.359
189,42.258,5.364,1.96,6.529
190,42.199,5.057,1.954,7.441
191,42.14,5.053,1.947,6.863
192,42.081,5.091,1.941,5.679
193,42.022,5.674,1.934,5.489
194,41.964,7.362,1.928,9.145
195,41.906,6.1,1.922,6.058
196,41.847,5.312,1.916,6.973
197,41.789,6.591,1.91,6.772
198,41.731,6.686,1.904,6.638
199,41.674,5.231,1.898,6.942
200,41.616,4.536,1.892,7.718
201,41.558,5.279,1.886,4.802
202,41.501,7.26,1.88,4.848
203,41.444,7.688,1.874,6.722
204,41.386,6.665,1.869,5.051
205,41.329,4.701,1.863,8.938
206,41.272,4.347,1.858,8.046
207,41.215,5.274,1.852,6.91
208,41.158,6.558,1.847,5.614
209,41.101,6.616,1.841,6.609
210,41.044,7.935,1.836,5.925
211,40.987,6.276,1.831,6.069
212,40.93,6.353,1.825,6.887
213,40.874,5.604,1.82,6.019
214,40.817,7.102,1.815,6.37
215,40.76,7.82,1.81,6.493
216,40.704,4.875,1.805,4.914
217,40.647,4.623,1.8,5.303
218,40.59,3.892,1.795,5.27
219,40.534,6.354,1.79,8.523
220,40.477,5.6,1.785,6.844
221,40.42,6.171,1.781,5.312
