# #stocks, #noise, #price, #walk, #kn, #action,#timestep
5925,37,-0.258,1987,1393,sell,675
5962,62,-0.275,2024,1430,sell,676
6026,-63,-0.299,2086,1494,buy,677
5960,12,-0.031,2023,1428,sell,678
5972,5,-0.048,2035,1440,sell,679
5977,117,-0.052,2040,1445,sell,680
6097,-81,-0.323,2157,1565,buy,681
6011,163,-0.033,2076,1479,sell,682
6174,-95,-0.344,2239,1642,buy,683
6079,-3,-0.038,2144,1547,buy,684
6061,112,-0.037,2141,1529,sell,685
6174,111,-0.344,2253,1642,sell,686
6286,315,-0.386,2364,1754,sell,687
6601,63,-0.538,2679,2069,sell,688
6664,-91,-0.589,2742,2132,buy,689
6572,243,-0.091,2651,2040,sell,690
6815,32,-0.754,2894,2283,sell,691
6847,-27,-0.807,2926,2315,buy,692
6814,-67,-0.122,2899,2282,buy,693
6742,108,-0.112,2832,2210,sell,694
6850,87,-0.818,2940,2318,sell,695
6938,-113,-0.972,3027,2406,buy,696
6821,-23,-0.123,2914,2289,buy,697
6797,-256,-0.119,2891,2265,buy,698
6535,4,-0.086,2635,2003,sell,699
6539,-184,-0.498,2639,2007,buy,700
6347,-92,-0.065,2455,1815,buy,701
6252,4,-0.055,2363,1720,sell,702
6257,229,-0.072,2367,1725,sell,703
6491,73,-0.471,2596,1959,sell,704
6566,109,-0.512,2669,2034,sell,705
6676,71,-0.595,2778,2144,sell,706
6747,36,-0.67,2849,2215,sell,707
6783,-67,-0.708,2885,2251,buy,708
6710,214,-0.107,2818,2178,sell,709
6925,-91,-0.953,3032,2393,buy,710
6829,78,-0.124,2941,2297,sell,711
6907,352,-0.913,3019,2375,sell,712
7259,-53,-2.177,3371,2727,buy,713
7203,-107,-0.184,3318,2671,buy,714
7091,-23,-0.164,3211,2559,buy,715
7064,-13,-0.16,3188,2532,buy,716
7043,131,-0.157,3175,2511,sell,717
7174,-75,-1.745,3306,2642,buy,718
7097,-45,-0.165,3231,2565,buy,719
7043,-92,-0.157,3186,2511,buy,720
6944,8,-0.14,3094,2412,sell,721
6952,28,-1.015,3102,2420,sell,722
6981,-42,-1.065,3130,2449,buy,723
6936,66,-0.139,3088,2404,sell,724
7002,129,-1.115,3154,2470,sell,725
7132,39,-1.558,3283,2600,sell,726
7171,-163,-1.722,3322,2639,buy,727
7003,-72,-0.15,3159,2471,buy,728
6926,20,-0.138,3087,2394,sell,729
6946,58,-0.995,3107,2414,sell,730
7005,-32,-1.128,3165,2473,buy,731
6972,-82,-0.145,3133,2440,buy,732
6879,141,-0.132,3051,2347,sell,733
7020,-42,-1.159,3192,2488,buy,734
6976,-186,-0.146,3150,2444,buy,735
6788,22,-0.118,2964,2256,sell,736
6812,-29,-0.749,2986,2280,buy,737
6781,133,-0.117,2957,2249,sell,738
6914,50,-0.932,3090,2382,sell,739
6965,104,-1.027,3140,2433,sell,740
7069,-304,-1.304,3244,2537,buy,741
6759,-14,-0.114,2940,2227,buy,742
6742,155,-0.112,2926,2210,sell,743
6897,-29,-0.896,3081,2365,buy,744
6862,253,-0.13,3052,2330,sell,745
7115,-75,-1.471,3305,2583,buy,746
7040,176,-0.156,3230,2508,sell,747
7216,74,-1.945,3406,2684,sell,748
7290,61,-2.403,3480,2758,sell,749
7351,-30,-2.878,3541,2819,buy,750
7319,-2,-0.209,3511,2787,buy,751
7316,107,-0.208,3509,2784,sell,752
7423,26,-3.492,3616,2891,sell,753
7449,-40,-3.751,3642,2917,buy,754
7407,-141,-0.224,3602,2875,buy,755
7262,83,-0.194,3461,2730,sell,756
7345,131,-2.847,3544,2813,sell,757
7476,-283,-4.017,3675,2944,buy,758
7189,19,-0.181,3392,2657,sell,759
7208,-59,-1.906,3411,2676,buy,760
7144,64,-0.173,3352,2612,sell,761
7208,-84,-1.906,3416,2676,buy,762
7124,-175,-0.169,3332,2592,buy,763
6944,-54,-0.14,3157,2412,buy,764
6879,276,-0.132,3103,2347,sell,765
7155,138,-1.66,3379,2623,sell,766
7293,-3,-2.419,3517,2761,buy,767
7290,-78,-0.201,3514,2758,buy,768
7212,18,-0.185,3436,2680,sell,769
7230,-131,-2.01,3454,2698,buy,770
7097,-130,-0.165,3323,2565,buy,771
6967,107,-0.144,3193,2435,sell,772
7074,-43,-1.317,3300,2542,buy,773
7024,115,-0.154,3257,2492,sell,774
7139,-24,-1.579,3372,2607,buy,775
7112,-68,-0.167,3348,2580,buy,776
7043,-20,-0.157,3280,2511,buy,777
7020,-185,-0.153,3260,2488,buy,778
6829,-2,-0.124,3075,2297,buy,779
6821,50,-0.123,3073,2289,sell,780
6873,88,-0.848,3123,2341,sell,781
6962,66,-1.025,3211,2430,sell,782
7028,96,-1.186,3277,2496,sell,783
7124,-24,-1.515,3373,2592,buy,784
7097,-10,-0.165,3349,2565,buy,785
7085,-9,-0.163,3339,2553,buy,786
7069,25,-0.161,3330,2537,sell,787
7094,44,-1.395,3355,2562,sell,788
7138,-75,-1.575,3399,2606,buy,789
7060,27,-0.159,3324,2528,sell,790
7087,90,-1.369,3351,2555,sell,791
7177,-18,-1.758,3441,2645,buy,792
7158,-140,-0.175,3423,2626,buy,793
7014,-40,-0.152,3283,2482,buy,794
6972,-10,-0.145,3243,2440,buy,795
6959,36,-0.142,3233,2427,sell,796
6995,-31,-1.105,3269,2463,buy,797
6964,-175,-0.143,3238,2432,buy,798
6788,-108,-0.118,3063,2256,buy,799
6680,-231,-0.104,2955,2148,buy,800
6443,17,-0.075,2724,1911,sell,801
6461,-13,-0.457,2741,1929,buy,802
6443,-165,-0.075,2728,1911,buy,803
6275,47,-0.057,2563,1743,sell,804
6322,113,-0.398,2610,1790,sell,805
6435,135,-0.446,2723,1903,sell,806
6570,-98,-0.514,2858,2038,buy,807
6467,-250,-0.078,2760,1935,buy,808
6205,-62,-0.051,2510,1673,buy,809
6135,-83,-0.043,2448,1603,buy,810
6050,-76,-0.036,2365,1518,buy,811
5969,46,-0.029,2289,1437,sell,812
6015,-6,-0.064,2335,1483,buy,813
6001,11,-0.041,2329,1469,sell,814
6012,-51,-0.061,2340,1480,buy,815
5959,130,-0.028,2289,1427,sell,816
6089,-381,-0.317,2419,1557,buy,817
5708,29,-0.009,2038,1176,sell,818
5739,-97,-0.023,2067,1207,buy,819
5629,60,-0.003,1970,1097,sell,820
5691,71,-0.023,2030,1159,sell,821
5766,143,-0.044,2101,1234,sell,822
5910,151,-0.255,2244,1378,sell,823
6062,-228,-0.31,2395,1530,buy,824
5825,-9,-0.017,2167,1293,buy,825
5808,-89,-0.016,2158,1276,buy,826
5719,116,-0.01,2069,1187,sell,827
5837,142,-0.054,2185,1305,sell,828
5979,151,-0.279,2327,1447,sell,829
6130,314,-0.331,2478,1598,sell,830
6444,104,-0.451,2792,1912,sell,831
6549,207,-0.504,2896,2017,sell,832
6756,-63,-0.682,3103,2224,buy,833
6688,-103,-0.105,3040,2156,buy,834
6577,67,-0.092,2937,2045,sell,835
6644,-18,-0.567,3004,2112,buy,836
6626,-98,-0.097,2986,2094,buy,837
6524,-48,-0.085,2888,1992,buy,838
6474,54,-0.079,2840,1942,sell,839
6528,124,-0.489,2894,1996,sell,840
6653,-290,-0.574,3018,2121,buy,841
6360,-78,-0.066,2728,1828,buy,842
6275,39,-0.057,2650,1743,sell,843
6314,-10,-0.396,2689,1782,buy,844
6304,5,-0.06,2679,1772,sell,845
6309,-11,-0.086,2684,1777,buy,846
6298,121,-0.059,2673,1766,sell,847
6419,-14,-0.436,2794,1887,buy,848
6397,-13,-0.07,2780,1865,buy,849
6381,71,-0.069,2767,1849,sell,850
6456,-74,-0.454,2838,1924,buy,851
6381,143,-0.069,2764,1849,sell,852
6524,117,-0.488,2907,1992,sell,853
6642,75,-0.566,3024,2110,sell,854
6718,23,-0.638,3099,2186,sell,855
6743,162,-0.659,3122,2211,sell,856
6905,9,-0.91,3284,2373,sell,857
6914,-61,-0.932,3293,2382,buy,858
6853,-60,-0.128,3232,2321,buy,859
6788,12,-0.118,3172,2256,sell,860
6801,-40,-0.739,3184,2269,buy,861
6759,-145,-0.114,3144,2227,buy,862
6612,-27,-0.095,2999,2080,buy,863
6577,-326,-0.092,2972,2045,buy,864
6245,66,-0.054,2646,1713,sell,865
6313,212,-0.395,2712,1781,sell,866
6528,25,-0.489,2924,1996,sell,867
6553,85,-0.508,2949,2021,sell,868
6639,-93,-0.559,3034,2107,buy,869
6542,144,-0.087,2941,2010,sell,870
6687,25,-0.602,3085,2155,sell,871
6712,86,-0.634,3110,2180,sell,872
6798,-179,-0.736,3196,2266,buy,873
6612,31,-0.095,3017,2080,sell,874
6644,-33,-0.567,3048,2112,buy,875
6599,50,-0.094,3015,2067,sell,876
6649,-70,-0.57,3065,2117,buy,877
6577,-146,-0.092,2995,2045,buy,878
6425,-4,-0.073,2849,1893,buy,879
6416,43,-0.072,2845,1884,sell,880
6459,6,-0.455,2888,1927,sell,881
6466,68,-0.458,2894,1934,sell,882
6535,199,-0.495,2962,2003,sell,883
6734,-244,-0.653,3161,2202,buy,884
6483,172,-0.08,2917,1951,sell,885
6655,43,-0.582,3089,2123,sell,886
6698,-78,-0.615,3132,2166,buy,887
6612,-23,-0.095,3054,2080,buy,888
6589,30,-0.093,3031,2057,sell,889
6621,-128,-0.55,3061,2089,buy,890
6493,-180,-0.081,2933,1961,buy,891
6304,-37,-0.06,2753,1772,buy,892
6260,-32,-0.056,2716,1728,buy,893
6219,62,-0.052,2684,1687,sell,894
6281,-138,-0.384,2746,1749,buy,895
6135,-107,-0.043,2608,1603,buy,896
6026,-30,-0.034,2501,1494,buy,897
5992,-147,-0.031,2471,1460,buy,898
5838,39,-0.018,2324,1306,sell,899
5879,-44,-0.039,2363,1347,buy,900
5825,38,-0.017,2319,1293,sell,901
5866,-92,-0.038,2357,1334,buy,902
5763,60,-0.013,2265,1231,sell,903
5831,-34,-0.039,2325,1299,buy,904
5795,-96,-0.019,2291,1263,buy,905
5696,112,-0.008,2195,1164,sell,906
5808,200,-0.049,2307,1276,sell,907
6010,-134,-0.291,2507,1478,buy,908
5866,288,-0.022,2373,1334,sell,909
6157,21,-0.34,2661,1625,sell,910
6178,-20,-0.345,2682,1646,buy,911
6158,53,-0.046,2662,1626,sell,912
6213,-220,-0.357,2715,1681,buy,913
5992,-48,-0.031,2495,1460,buy,914
5942,-113,-0.027,2447,1410,buy,915
5825,-94,-0.017,2334,1293,buy,916
5729,-37,-0.011,2240,1197,buy,917
5687,-209,-0.007,2203,1155,buy,918
5468,85,0.007,1994,936,sell,919
5559,-96,-0.012,2079,1027,buy,920
5456,-49,0.008,1983,924,buy,921
5406,233,0.012,1934,874,sell,922
5640,36,-0.17,2167,1108,sell,923
5676,118,-0.185,2203,1144,sell,924
5795,-132,-0.224,2321,1263,buy,925
5660,180,-0.009,2189,1128,sell,926
5844,281,-0.242,2369,1312,sell,927
6127,17,-0.33,2650,1595,sell,928
6146,69,-0.337,2667,1614,sell,929
6215,52,-0.358,2736,1683,sell,930
6270,132,-0.378,2788,1738,sell,931
6405,70,-0.43,2920,1873,sell,932
6476,-63,-0.464,2990,1944,buy,933
6408,-3,-0.071,2927,1876,buy,934
6397,97,-0.07,2924,1865,sell,935
6495,58,-0.474,3021,1963,sell,936
6553,-6,-0.508,3079,2021,buy,937
6542,-17,-0.087,3073,2010,buy,938
6524,135,-0.085,3056,1992,sell,939
6659,55,-0.586,3191,2127,sell,940
6714,40,-0.635,3246,2182,sell,941
6754,30,-0.678,3286,2222,sell,942
6785,85,-0.715,3316,2253,sell,943
6870,-30,-0.847,3401,2338,buy,944
6839,84,-0.126,3371,2307,sell,945
6923,45,-0.949,3455,2391,sell,946
6968,-95,-1.03,3500,2436,buy,947
6869,-178,-0.131,3405,2337,buy,948
6688,3,-0.105,3227,2156,sell,949
6691,122,-0.604,3230,2159,sell,950
6813,210,-0.752,3352,2281,sell,951
7023,-65,-1.163,3562,2491,buy,952
6952,-48,-0.141,3497,2420,buy,953
6903,95,-0.135,3449,2371,sell,954
6998,-46,-1.11,3544,2466,buy,955
6952,-6,-0.141,3498,2420,buy,956
6944,-78,-0.14,3492,2412,buy,957
6862,50,-0.13,3414,2330,sell,958
6912,-78,-0.927,3464,2380,buy,959
6829,14,-0.124,3386,2297,sell,960
6843,19,-0.8,3400,2311,sell,961
6862,-39,-0.832,3419,2330,buy,962
6821,-141,-0.123,3380,2289,buy,963
6680,210,-0.104,3239,2148,sell,964
6890,-68,-0.888,3449,2358,buy,965
6821,-2,-0.123,3381,2289,buy,966
6814,83,-0.122,3379,2282,sell,967
6897,-154,-0.896,3462,2365,buy,968
6742,-93,-0.112,3308,2210,buy,969
6649,-112,-0.1,3215,2117,buy,970
6535,-11,-0.086,3103,2003,buy,971
6524,8,-0.085,3092,1992,sell,972
6533,77,-0.494,3100,2001,sell,973
6611,15,-0.545,3177,2079,sell,974
6627,-27,-0.552,3192,2095,buy,975
6599,111,-0.094,3165,2067,sell,976
6710,-7,-0.628,3276,2178,buy,977
6699,-42,-0.106,3269,2167,buy,978
6655,-127,-0.101,3227,2123,buy,979
6524,-55,-0.085,3100,1992,buy,980
6467,35,-0.078,3045,1935,sell,981
6502,185,-0.477,3080,1970,sell,982
6687,93,-0.602,3265,2155,sell,983
6782,-112,-0.706,3358,2250,buy,984
6662,-55,-0.102,3246,2130,buy,985
6599,-151,-0.094,3191,2067,buy,986
6443,190,-0.075,3040,1911,sell,987
6633,77,-0.554,3230,2101,sell,988
6710,-171,-0.628,3307,2178,buy,989
6535,-178,-0.086,3136,2003,buy,990
6347,-64,-0.065,2958,1815,buy,991
6275,-67,-0.057,2894,1743,buy,992
6205,-88,-0.051,2827,1673,buy,993
6109,-46,-0.041,2739,1577,buy,994
6061,-61,-0.037,2693,1529,buy,995
5992,-47,-0.031,2632,1460,buy,996
5942,-62,-0.027,2585,1410,buy,997
5872,82,-0.021,2523,1340,sell,998
5957,55,-0.071,2605,1425,sell,999
6013,-45,-0.284,2660,1481,buy,1000
5959,26,-0.029,2615,1427,sell,1001
5988,35,-0.053,2641,1456,sell,1002
6025,11,-0.073,2676,1493,sell,1003
6040,-112,-0.294,2687,1508,buy,1004
5922,-246,-0.026,2575,1390,buy,1005
5667,28,-0.006,2329,1135,sell,1006
5696,142,-0.019,2357,1164,sell,1007
5838,-102,-0.23,2499,1306,buy,1008
5735,-84,-0.012,2397,1203,buy,1009
5644,-68,-0.004,2313,1112,buy,1010
5558,128,0.001,2245,1026,sell,1011
5687,-23,-0.031,2373,1155,buy,1012
5662,-108,-0.016,2350,1130,buy,1013
5537,-30,0.002,2242,1005,buy,1014
5504,-35,0.004,2212,972,buy,1015
5468,92,0.007,2177,936,sell,1016
5565,-90,-0.013,2269,1033,buy,1017
5468,-168,0.007,2179,936,buy,1018
5294,221,0.02,2011,762,sell,1019
5516,86,-0.028,2232,984,sell,1020
5606,16,-0.168,2318,1074,sell,1021
5624,-62,-0.176,2334,1092,buy,1022
5555,95,-0.006,2272,1023,sell,1023
5652,-208,-0.038,2367,1120,buy,1024
5438,79,0.004,2159,906,sell,1025
5519,1,-0.014,2238,987,sell,1026
5524,-136,-0.015,2239,992,buy,1027
5383,-6,0.011,2103,851,buy,1028
5370,-64,0.012,2097,838,buy,1029
5301,-143,0.019,2033,769,buy,1030
5153,138,0.031,1890,621,sell,1031
5298,-78,-0.003,2028,766,buy,1032
5219,-38,0.014,1950,687,buy,1033
5180,-250,0.023,1912,648,buy,1034
4924,-161,0.051,1662,392,buy,1035
4760,-188,0.069,1501,228,buy,1036
4572,43,0.089,1313,40,sell,1037
4624,-227,0.024,1356,92,buy,1038
4397,-32,0.11,1129,-135,buy,1039
4362,19,0.115,1097,-170,sell,1040
4381,-60,0.014,1116,-151,buy,1041
4318,-147,0.04,1056,-214,buy,1042
4162,85,0.14,909,-370,sell,1043
4248,203,-4.65E-16,994,-284,sell,1044
4457,215,-0.027,1197,-75,sell,1045
4677,17,-0.058,1412,145,sell,1046
4701,55,-0.061,1429,169,sell,1047
4763,163,-0.07,1484,231,sell,1048
4934,30,-0.095,1647,402,sell,1049
4966,-232,-0.1,1677,434,buy,1050
4733,75,0.022,1445,201,sell,1051
4808,-144,0.001,1520,276,buy,1052
4660,134,0.04,1376,128,sell,1053
4798,82,-4.65E-16,1510,266,sell,1054
4882,147,-0.015,1592,350,sell,1055
5030,291,-0.108,1739,498,sell,1056
5322,-18,-0.157,2030,790,buy,1057
5294,-111,-0.008,2012,762,buy,1058
5172,-50,0.004,1901,640,buy,1059
5122,-47,0.012,1851,590,buy,1060
5073,-101,0.017,1804,541,buy,1061
4971,-4,0.028,1703,439,buy,1062
4961,-81,0.029,1699,429,buy,1063
4880,118,0.04,1618,348,sell,1064
5001,60,0.002,1736,469,sell,1065
5062,-113,-0.005,1796,530,buy,1066
4949,-81,0.018,1683,417,buy,1067
4858,-238,0.042,1602,326,buy,1068
4618,170,0.075,1364,86,sell,1069
4798,33,-0.005,1534,266,sell,1070
4838,-75,-0.017,1567,306,buy,1071
4758,199,0.002,1492,226,sell,1072
4960,148,-0.066,1691,428,sell,1073
5111,-86,-0.107,1839,579,buy,1074
5018,72,-0.003,1753,486,sell,1075
5091,-30,-0.027,1825,559,buy,1076
5057,77,-0.011,1795,525,sell,1077
5134,31,-0.038,1872,602,sell,1078
5165,-59,-0.059,1903,633,buy,1079
5105,-163,-0.022,1844,573,buy,1080
4934,-154,0.012,1681,402,buy,1081
4772,208,0.042,1527,240,sell,1082
4985,-62,-0.011,1735,453,buy,1083
4920,-109,0.004,1673,388,buy,1084
4804,173,0.027,1564,272,sell,1085
4985,-34,-0.011,1737,453,buy,1086
4947,-83,-4.51E-16,1703,415,buy,1087
4863,143,0.015,1620,331,sell,1088
5007,-140,-0.015,1763,475,buy,1089
4858,-61,0.014,1623,326,buy,1090
4789,234,0.029,1562,257,sell,1091
5024,-103,-0.02,1796,492,buy,1092
4916,-114,0.004,1693,384,buy,1093
4796,137,0.027,1579,264,sell,1094
4936,76,-0.003,1716,404,sell,1095
5016,-77,-0.017,1792,484,buy,1096
4936,213,0.002,1715,404,sell,1097
5158,-248,-0.119,1928,626,buy,1098
4902,1,0.024,1680,370,sell,1099
4903,2,0.021,1681,371,sell,1100
4906,243,0.018,1683,374,sell,1101
5157,64,-0.038,1926,625,sell,1102
5221,-93,-0.134,1990,689,buy,1103
5126,119,0.001,1897,594,sell,1104
5252,11,-0.028,2016,720,sell,1105
5263,1,-0.036,2027,731,sell,1106
5272,-86,-0.037,2028,740,buy,1107
5180,-288,-0.005,1942,648,buy,1108
4892,52,0.033,1654,360,sell,1109
4946,144,0.009,1706,414,sell,1110
5103,289,-0.014,1850,571,sell,1111
5392,-76,-0.167,2139,860,buy,1112
5313,-203,-0.003,2063,781,buy,1113
5102,59,0.018,1860,570,sell,1114
5167,-93,-4.51E-16,1919,635,buy,1115
5067,-71,0.021,1826,535,buy,1116
4989,33,0.03,1755,457,sell,1117
5029,-36,0.013,1788,497,buy,1118
4993,28,0.029,1752,461,sell,1119
5023,-185,0.014,1780,491,buy,1120
4836,126,0.049,1595,304,sell,1121
4967,-15,0.002,1721,435,buy,1122
4949,44,0.008,1706,417,sell,1123
4998,-13,-0.001,1750,466,buy,1124
4984,-41,0.003,1737,452,buy,1125
4937,-16,0.014,1696,405,buy,1126
4918,69,0.019,1680,386,sell,1127
4998,-75,-0.001,1749,466,buy,1128
4918,-146,0.019,1674,386,buy,1129
4765,-27,0.057,1528,233,buy,1130
4726,49,0.063,1501,194,sell,1131
4777,24,0.028,1550,245,sell,1132
4808,116,0.019,1574,276,sell,1133
4925,253,-0.005,1690,393,sell,1134
5181,-79,-0.115,1943,649,buy,1135
5093,-28,-0.002,1864,561,buy,1136
5061,-19,0.002,1836,529,buy,1137
5040,-123,0.004,1817,508,buy,1138
4917,-98,0.027,1694,385,buy,1139
4812,139,0.046,1596,280,sell,1140
4957,224,-4.51E-16,1735,425,sell,1141
5181,-217,-0.115,1959,649,buy,1142
4963,146,0.019,1742,431,sell,1143
5113,-3,-0.012,1888,581,buy,1144
5107,3,-0.006,1885,575,sell,1145
5110,146,-0.01,1888,578,sell,1146
5257,-89,-0.136,2034,725,buy,1147
5156,-172,0.001,1945,624,buy,1148
4973,-48,0.025,1773,441,buy,1149
4920,-67,0.034,1725,388,buy,1150
4849,23,0.043,1658,317,sell,1151
4873,79,0.024,1681,341,sell,1152
4957,27,0.005,1760,425,sell,1153
4988,102,0.001,1787,456,sell,1154
5090,-52,-0.017,1889,558,buy,1155
5037,-62,-0.001,1837,505,buy,1156
4974,122,0.007,1775,442,sell,1157
5102,-6,-0.019,1897,570,buy,1158
5096,85,-0.013,1891,564,sell,1159
5181,-116,-0.103,1976,649,buy,1160
5054,149,0.001,1860,522,sell,1161
5205,88,-0.038,2009,673,sell,1162
5296,193,-0.143,2097,764,sell,1163
5493,-151,-0.183,2290,961,buy,1164
5338,5,0.001,2139,806,sell,1165
5344,4,-0.001,2144,812,sell,1166
5348,43,-0.002,2148,816,sell,1167
5394,-108,-0.013,2191,862,buy,1168
5280,50,0.005,2083,748,sell,1169
5330,17,-0.005,2133,798,sell,1170
5351,-126,-0.01,2150,819,buy,1171
5224,85,0.013,2024,692,sell,1172
5320,-97,-0.007,2109,788,buy,1173
5205,68,0.014,2012,673,sell,1174
5275,-176,-0.002,2080,743,buy,1175
5096,147,0.024,1904,564,sell,1176
5248,-184,-0.008,2051,716,buy,1177
5063,57,0.027,1867,531,sell,1178
5120,97,0.007,1924,588,sell,1179
5221,234,-0.005,2021,689,sell,1180
5455,-48,-0.173,2255,923,buy,1181
5395,74,-0.006,2207,863,sell,1182
5471,28,-0.032,2281,939,sell,1183
5504,-71,-0.041,2309,972,buy,1184
5428,-63,-0.012,2238,896,buy,1185
5363,16,-0.002,2175,831,sell,1186
5379,-210,-0.007,2191,847,buy,1187
5167,-21,0.017,1981,635,buy,1188
5145,-61,0.019,1960,613,buy,1189
5080,-58,0.026,1899,548,buy,1190
5018,88,0.032,1841,486,sell,1191
5113,-29,0.003,1929,581,buy,1192
5084,64,0.014,1900,552,sell,1193
5155,-4,-0.002,1964,623,buy,1194
5150,-31,-4.51E-16,1960,618,buy,1195
5118,43,0.006,1929,586,sell,1196
5171,8,-0.003,1972,639,sell,1197
5180,20,-0.005,1980,648,sell,1198
5203,-33,-0.009,2000,671,buy,1199
5165,91,0.001,1967,633,sell,1200
5256,12,-0.021,2058,724,sell,1201
5270,-164,-0.028,2070,738,buy,1202
5102,-24,0.007,1906,570,buy,1203
5072,-80,0.014,1882,540,buy,1204
4987,-180,0.036,1802,455,buy,1205
4803,284,0.056,1622,271,sell,1206
5092,179,-0.042,1906,560,sell,1207
5275,-14,-0.132,2085,743,buy,1208
5254,23,-0.01,2071,722,sell,1209
5278,-156,-0.023,2094,746,buy,1210
5113,-5,0.011,1938,581,buy,1211
5091,35,0.014,1933,559,sell,1212
5133,-315,0.001,1968,601,buy,1213
4817,-32,0.055,1653,285,buy,1214
4783,-180,0.059,1621,251,buy,1215
4599,-61,0.081,1441,67,buy,1216
4538,135,0.09,1380,6,sell,1217
4673,-174,-0.002,1515,141,buy,1218
4499,91,0.045,1341,-33,sell,1219
4596,168,0.01,1432,64,sell,1220
4768,-64,-0.023,1600,236,buy,1221
4699,130,-0.002,1536,167,sell,1222
4832,-64,-0.041,1666,300,buy,1223
4767,-259,-0.014,1602,235,buy,1224
4498,-56,0.095,1343,-34,buy,1225
4439,69,0.103,1287,-93,sell,1226
4508,-127,0.008,1356,-24,buy,1227
4379,4,0.112,1229,-153,sell,1228
4385,137,0.02,1233,-147,sell,1229
4524,30,-0.007,1370,-8,sell,1230
4558,-119,-0.014,1400,26,buy,1231
4439,76,0.01,1281,-93,sell,1232
4517,-9,-0.005,1357,-15,buy,1233
4507,70,-0.002,1348,-25,sell,1234
4579,36,-0.017,1418,47,sell,1235
4620,-40,-0.025,1454,88,buy,1236
4580,10,-0.008,1414,48,sell,1237
4590,92,-0.015,1424,58,sell,1238
4689,97,-0.038,1516,157,sell,1239
4793,-151,-0.058,1613,261,buy,1240
4639,70,-0.001,1462,107,sell,1241
4712,-73,-0.022,1532,180,buy,1242
4639,187,-0.001,1459,107,sell,1243
4832,-130,-0.066,1646,300,buy,1244
4701,9,-0.006,1516,169,sell,1245
4710,154,-0.013,1525,178,sell,1246
4866,55,-0.071,1679,334,sell,1247
4924,-7,-0.082,1734,392,buy,1248
4916,51,-0.056,1727,384,sell,1249
4971,98,-0.091,1778,439,sell,1250
5071,19,-0.107,1876,539,sell,1251
5093,11,-0.112,1895,561,sell,1252
5113,-48,-0.115,1906,581,buy,1253
5058,184,-0.011,1858,526,sell,1254
5248,190,-0.138,2042,716,sell,1255
5442,-125,-0.174,2232,910,buy,1256
5310,105,0.001,2107,778,sell,1257
5418,-196,-0.025,2212,886,buy,1258
5219,115,0.01,2016,687,sell,1259
5336,4,-0.013,2131,804,sell,1260
5344,48,-0.015,2135,812,sell,1261
5399,2,-0.028,2183,867,sell,1262
5402,152,-0.031,2185,870,sell,1263
5557,-5,-0.193,2337,1025,buy,1264
5537,55,-0.014,2332,1005,sell,1265
5593,-141,-0.038,2387,1061,buy,1266
5450,70,-0.005,2246,918,sell,1267
5523,-202,-0.031,2316,991,buy,1268
5320,-178,0.005,2114,788,buy,1269
5139,-181,0.022,1936,607,buy,1270
4946,65,0.042,1755,414,sell,1271
5011,100,0.015,1820,479,sell,1272
5118,-90,-0.002,1920,586,buy,1273
5026,163,0.019,1830,494,sell,1274
5193,-11,-0.017,1993,661,buy,1275
5179,-1,-0.009,1982,647,buy,1276
5177,61,-0.008,1981,645,sell,1277
5238,184,-0.059,2042,706,sell,1278
5423,-65,-0.159,2226,891,buy,1279
5357,77,-0.003,2161,825,sell,1280
5438,-33,-0.028,2238,906,buy,1281
5394,159,-0.011,2205,862,sell,1282
5553,24,-0.192,2364,1021,sell,1283
5579,31,-0.198,2388,1047,sell,1284
5613,173,-0.205,2419,1081,sell,1285
5792,-67,-0.242,2592,1260,buy,1286
5716,-131,-0.016,2525,1184,buy,1287
5584,-261,-0.005,2394,1052,buy,1288
5318,251,0.015,2133,786,sell,1289
5570,71,-0.166,2384,1038,sell,1290
5644,162,-0.191,2455,1112,sell,1291
5807,-74,-0.246,2617,1275,buy,1292
5724,-86,-0.016,2543,1192,buy,1293
5634,32,-0.009,2457,1102,sell,1294
5667,160,-0.024,2489,1135,sell,1295
5829,-79,-0.25,2649,1297,buy,1296
5745,20,-0.017,2570,1213,sell,1297
5765,-165,-0.031,2590,1233,buy,1298
5594,161,-0.005,2425,1062,sell,1299
5761,-132,-0.223,2586,1229,buy,1300
5624,-124,-0.008,2454,1092,buy,1301
5483,-62,0.002,2330,951,buy,1302
5420,-68,0.007,2268,888,buy,1303
5339,73,0.014,2200,807,sell,1304
5418,53,-0.003,2273,886,sell,1305
5473,62,-0.014,2326,941,sell,1306
5537,-163,-0.028,2388,1005,buy,1307
5369,-70,0.007,2225,837,buy,1308
5290,2,0.018,2155,758,sell,1309
5292,-102,0.014,2157,760,buy,1310
5179,-139,0.027,2055,647,buy,1311
5037,-17,0.041,1916,505,buy,1312
5013,-9,0.043,1899,481,buy,1313
5004,36,0.044,1890,472,sell,1314
5040,-50,0.021,1926,508,buy,1315
4984,104,0.046,1876,452,sell,1316
5095,74,0.005,1980,563,sell,1317
5170,-8,-0.004,2054,638,buy,1318
5162,-224,-0.001,2046,630,buy,1319
4924,-69,0.051,1822,392,buy,1320
4851,12,0.059,1753,319,sell,1321
4871,269,0.036,1765,339,sell,1322
5140,1,-0.045,2034,608,sell,1323
5141,-10,-0.048,2035,609,buy,1324
5129,-126,-0.031,2025,597,buy,1325
5001,-33,-0.002,1899,469,buy,1326
4952,-59,0.002,1866,420,buy,1327
