inputs,outputs,predictions,RED,GREEN,BLUE
-3.699,-50.511,-48.281,0.1,0.1,0.1
-3.695,-50.511,-48.383,0.1,0.1,0.1
-3.684,-50.511,-48.321,0.1,0.1,0.1
-3.667,-50.511,-48.127,0.1,0.1,0.1
-3.647,-50.511,-47.84,0.1,0.1,0.1
-3.627,-50.511,-47.5,0.1,0.1,0.1
-3.608,-50.511,-47.153,0.1,0.1,0.1
-3.594,-50.511,-46.846,0.1,0.1,0.1
-3.587,-50.511,-46.625,0.1,0.1,0.1
-3.589,-50.511,-46.537,0.1,0.1,0.1
-3.602,-50.511,-46.619,0.1,0.1,0.1
-3.623,-50.511,-46.864,0.1,0.1,0.1
-3.648,-50.511,-47.232,0.1,0.1,0.1
-3.674,-50.511,-47.67,0.1,0.1,0.1
-3.698,-50.511,-48.114,0.1,0.1,0.1
-3.716,-50.557,-48.502,0.1,0.1,0.1
-3.724,-50.58,-48.769,0.1,0.1,0.1
-3.719,-50.58,-48.85,0.1,0.1,0.1
-3.697,-50.58,-48.682,0.1,0.1,0.1
-3.655,-50.58,-48.194,0.1,0.1,0.1
-3.59,-50.58,-47.321,0.1,0.1,0.1
-3.506,-50.53,-46.064,0.1,0.1,0.1
-3.407,-49.997,-44.486,0.1,0.1,0.1
-3.299,-48.986,-42.711,0.1,0.1,0.1
-3.185,-47.911,-40.891,0.1,0.1,0.1
-3.07,-46.821,-39.158,0.1,0.1,0.1
-2.959,-45.76,-37.565,0.1,0.1,0.1
-2.857,-44.769,-36.158,0.1,0.1,0.1
-2.767,-43.903,-35.029,0.1,0.1,0.1
-2.696,-43.205,-34.168,0.1,0.1,0.1
-2.646,-42.711,-33.56,0.1,0.1,0.1
-2.616,-42.412,-33.17,0.1,0.1,0.1
-2.602,-42.283,-32.959,0.1,0.1,0.1
-2.604,-42.283,-32.895,0.1,0.1,0.1
-2.617,-42.283,-32.95,0.1,0.1,0.1
-2.64,-42.283,-33.1,0.1,0.1,0.1
-2.669,-42.283,-33.322,0.1,0.1,0.1
-2.702,-42.283,-33.596,0.1,0.1,0.1
-2.737,-42.283,-33.9,0.1,0.1,0.1
-2.77,-42.283,-34.212,0.1,0.1,0.1
-2.8,-42.283,-34.51,0.1,0.1,0.1
-2.826,-42.348,-34.784,0.1,0.1,0.1
-2.849,-42.411,-35.033,0.1,0.1,0.1
-2.869,-42.465,-35.254,0.1,0.1,0.1
-2.886,-42.512,-35.45,0.1,0.1,0.1
-2.901,-42.552,-35.62,0.1,0.1,0.1
-2.913,-42.585,-35.768,0.1,0.1,0.1
-2.923,-42.614,-35.894,0.1,0.1,0.1
-2.932,-42.637,-36.001,0.1,0.1,0.1
-2.939,-42.657,-36.092,0.1,0.1,0.1
-2.945,-42.673,-36.168,0.1,0.1,0.1
-2.95,-42.686,-36.23,0.1,0.1,0.1
-2.953,-42.695,-36.277,0.1,0.1,0.1
-2.955,-42.7,-36.309,0.1,0.1,0.1
-2.955,-42.702,-36.325,0.1,0.1,0.1
-2.954,-42.702,-36.323,0.1,0.1,0.1
-2.952,-42.702,-36.303,0.1,0.1,0.1
-2.947,-42.702,-36.263,0.1,0.1,0.1
-2.941,-42.702,-36.204,0.1,0.1,0.1
-2.933,-42.702,-36.125,0.1,0.1,0.1
-2.923,-42.702,-36.023,0.1,0.1,0.1
-2.909,-42.702,-35.89,0.1,0.1,0.1
-2.891,-42.702,-35.714,0.1,0.1,0.1
-2.867,-42.702,-35.482,0.1,0.1,0.1
-2.835,-42.702,-35.184,0.1,0.1,0.1
-2.794,-42.702,-34.809,0.1,0.1,0.1
-2.742,-42.666,-34.351,0.1,0.1,0.1
-2.679,-42.493,-33.806,0.1,0.1,0.1
-2.603,-42.284,-33.171,0.1,0.1,0.1
-2.512,-41.39,-32.445,0.1,0.1,0.1
-2.407,-40.337,-31.631,0.1,0.1,0.1
-2.292,-39.187,-30.759,0.1,0.1,0.1
-2.175,-38.003,-29.867,0.1,0.1,0.1
-2.062,-36.853,-28.993,0.1,0.1,0.1
-1.96,-35.811,-28.183,0.1,0.1,0.1
-1.875,-34.944,-27.491,0.1,0.1,0.1
-1.816,-34.326,-26.972,0.1,0.1,0.1
-1.787,-34.032,-26.681,0.1,0.1,0.1
-1.797,-34.032,-26.665,0.1,0.1,0.1
-1.851,-34.032,-26.966,0.1,0.1,0.1
-1.954,-34.032,-27.602,0.1,0.1,0.1
-2.096,-34.33,-28.527,0.1,0.1,0.1
-2.267,-34.906,-29.683,0.1,0.1,0.1
-2.454,-35.738,-31.028,0.1,0.1,0.1
-2.647,-36.746,-32.532,0.1,0.1,0.1
-2.833,-37.833,-34.17,0.1,0.1,0.1
-3.001,-38.89,-35.896,0.1,0.1,0.1
-3.14,-39.818,-37.59,0.1,0.1,0.1
-3.237,-40.489,-39.002,0.1,0.1,0.1
-3.281,-40.803,-39.987,0.1,0.1,0.1
-3.265,-40.803,-40.279,0.1,0.1,0.1
-3.194,-40.803,-39.809,0.1,0.1,0.1
-3.081,-40.803,-38.696,0.1,0.1,0.1
-2.935,-40.404,-37.138,0.1,0.1,0.1
-2.768,-39.79,-35.365,0.1,0.1,0.1
-2.589,-38.973,-33.65,0.1,0.1,0.1
-2.41,-38.027,-32.076,0.1,0.1,0.1
-2.242,-37.043,-30.664,0.1,0.1,0.1
-2.094,-36.12,-29.427,0.1,0.1,0.1
-1.978,-35.348,-28.418,0.1,0.1,0.1
-1.902,-34.836,-27.704,0.1,0.1,0.1
-1.863,-34.569,-27.296,0.1,0.1,0.1
-1.857,-34.526,-27.157,0.1,0.1,0.1
-1.879,-34.526,-27.242,0.1,0.1,0.1
-1.924,-34.526,-27.508,0.1,0.1,0.1
-1.987,-34.526,-27.918,0.1,0.1,0.1
-2.063,-34.543,-28.437,0.1,0.1,0.1
-2.148,-34.776,-29.032,0.1,0.1,0.1
-2.237,-35.02,-29.672,0.1,0.1,0.1
-2.325,-35.353,-30.327,0.1,0.1,0.1
-2.408,-35.693,-30.968,0.1,0.1,0.1
-2.485,-36.034,-31.586,0.1,0.1,0.1
-2.555,-36.39,-32.175,0.1,0.1,0.1
-2.62,-36.715,-32.735,0.1,0.1,0.1
-2.679,-37.025,-33.264,0.1,0.1,0.1
-2.732,-37.325,-33.758,0.1,0.1,0.1
-2.778,-37.589,-34.215,0.1,0.1,0.1
-2.818,-37.818,-34.629,0.1,0.1,0.1
-2.852,-38.01,-34.995,0.1,0.1,0.1
-2.879,-38.178,-35.309,0.1,0.1,0.1
-2.9,-38.308,-35.564,0.1,0.1,0.1
-2.914,-38.398,-35.756,0.1,0.1,0.1
-2.922,-38.447,-35.882,0.1,0.1,0.1
-2.923,-38.456,-35.937,0.1,0.1,0.1
-2.918,-38.456,-35.92,0.1,0.1,0.1
-2.906,-38.456,-35.832,0.1,0.1,0.1
-2.888,-38.456,-35.672,0.1,0.1,0.1
-2.863,-38.456,-35.443,0.1,0.1,0.1
-2.831,-38.456,-35.148,0.1,0.1,0.1
-2.793,-38.456,-34.793,0.1,0.1,0.1
-2.748,-38.456,-34.382,0.1,0.1,0.1
-2.697,-38.384,-33.926,0.1,0.1,0.1
-2.641,-38.23,-33.435,0.1,0.1,0.1
-2.58,-38.064,-32.917,0.1,0.1,0.1
-2.516,-37.876,-32.381,0.1,0.1,0.1
-2.448,-37.598,-31.833,0.1,0.1,0.1
-2.378,-37.309,-31.278,0.1,0.1,0.1
-2.306,-36.997,-30.718,0.1,0.1,0.1
-2.232,-36.63,-30.156,0.1,0.1,0.1
-2.159,-36.261,-29.595,0.1,0.1,0.1
-2.086,-35.868,-29.038,0.1,0.1,0.1
-2.013,-35.453,-28.484,0.1,0.1,0.1
-1.941,-35.043,-27.936,0.1,0.1,0.1
-1.87,-34.608,-27.392,0.1,0.1,0.1
-1.8,-34.123,-26.855,0.1,0.1,0.1
-1.731,-33.455,-26.326,0.1,0.1,0.1
-1.664,-32.754,-25.806,0.1,0.1,0.1
-1.599,-32.07,-25.297,0.1,0.1,0.1
-1.535,-31.406,-24.802,0.1,0.1,0.1
-1.474,-30.759,-24.322,0.1,0.1,0.1
-1.415,-30.137,-23.862,0.1,0.1,0.1
-1.36,-29.558,-23.43,0.1,0.1,0.1
-1.311,-29.036,-23.042,0.1,0.1,0.1
-1.269,-28.59,-22.711,0.1,0.1,0.1
-1.236,-28.241,-22.45,0.1,0.1,0.1
-1.214,-28.007,-22.271,0.1,0.1,0.1
-1.205,-27.905,-22.187,0.1,0.1,0.1
-1.209,-27.905,-22.21,0.1,0.1,0.1
-1.23,-27.905,-22.349,0.1,0.1,0.1
-1.268,-27.905,-22.617,0.1,0.1,0.1
-1.324,-27.905,-23.013,0.1,0.1,0.1
-1.394,-27.905,-23.509,0.1,0.1,0.1
-1.473,-28.091,-24.07,0.1,0.1,0.1
-1.555,-28.315,-24.661,0.1,0.1,0.1
-1.634,-28.573,-25.246,0.1,0.1,0.1
-1.706,-28.87,-25.789,0.1,0.1,0.1
-1.766,-29.113,-26.252,0.1,0.1,0.1
-1.807,-29.284,-26.596,0.1,0.1,0.1
-1.824,-29.372,-26.782,0.1,0.1,0.1
-1.813,-29.372,-26.766,0.1,0.1,0.1
-1.769,-29.372,-26.514,0.1,0.1,0.1
-1.696,-29.372,-26.033,0.1,0.1,0.1
-1.6,-29.306,-25.346,0.1,0.1,0.1
-1.486,-28.992,-24.489,0.1,0.1,0.1
-1.358,-28.552,-23.505,0.1,0.1,0.1
-1.223,-27.996,-22.442,0.1,0.1,0.1
-1.086,-26.625,-21.355,0.1,0.1,0.1
-0.951,-25.053,-20.282,0.1,0.1,0.1
-0.825,-23.575,-18.991,0.1,0.1,0.1
-0.713,-22.253,-16.749,0.1,0.1,0.1
-0.619,-21.139,-13.863,0.1,0.1,0.1
-0.542,-20.23,-11.063,0.1,0.1,0.1
-0.481,-19.513,-9.709,0.1,0.1,0.1
-0.436,-18.967,-8.953,0.1,0.1,0.1
-0.403,-18.579,-8.475,0.1,0.1,0.1
-0.382,-18.331,-8.148,0.1,0.1,0.1
-0.372,-18.207,-7.943,0.1,0.1,0.1
-0.37,-18.189,-7.837,0.1,0.1,0.1
-0.376,-18.189,-7.817,0.1,0.1,0.1
-0.388,-18.189,-7.872,0.1,0.1,0.1
-0.405,-18.189,-7.991,0.1,0.1,0.1
-0.426,-18.189,-8.17,0.1,0.1,0.1
-0.452,-18.189,-8.408,0.1,0.1,0.1
-0.483,-18.189,-8.702,0.1,0.1,0.1
-0.52,-18.189,-9.051,0.1,0.1,0.1
-0.561,-18.189,-9.453,0.1,0.1,0.1
-0.607,-18.289,-9.907,0.1,0.1,0.1
-0.659,-18.431,-10.41,0.1,0.1,0.1
-0.716,-18.587,-10.96,0.1,0.1,0.1
-0.778,-18.768,-11.557,0.1,0.1,0.1
-0.845,-19.046,-12.213,0.1,0.1,0.1
-0.915,-19.332,-13.338,0.1,0.1,0.1
-0.984,-19.626,-14.678,0.1,0.1,0.1
-1.048,-19.947,-16.157,0.1,0.1,0.1
-1.104,-20.229,-17.626,0.1,0.1,0.1
-1.149,-20.454,-18.9,0.1,0.1,0.1
-1.179,-20.611,-19.881,0.1,0.1,0.1
-1.191,-20.681,-20.54,0.1,0.1,0.1
-1.182,-20.681,-20.857,0.1,0.1,0.1
-1.148,-20.681,-20.823,0.1,0.1,0.1
-1.087,-20.681,-20.42,0.1,0.1,0.1
-1.004,-20.681,-19.642,0.1,0.1,0.1
-0.903,-20.441,-18.43,0.1,0.1,0.1
-0.791,-20.133,-16.666,0.1,0.1,0.1
-0.672,-19.643,-14.248,0.1,0.1,0.1
-0.551,-19.113,-11.179,0.1,0.1,0.1
-0.435,-18.53,-9.346,0.1,0.1,0.1
-0.329,-17.695,-8.001,0.1,0.1,0.1
-0.237,-16.603,-6.9,0.1,0.1,0.1
-0.166,-15.736,-5.987,0.1,0.1,0.1
-0.119,-15.157,-5.299,0.1,0.1,0.1
-0.094,-14.849,-4.83,0.1,0.1,0.1
-0.087,-14.765,-4.564,0.1,0.1,0.1
-0.095,-14.765,-4.478,0.1,0.1,0.1
-0.113,-14.765,-4.542,0.1,0.1,0.1
-0.137,-14.765,-4.719,0.1,0.1,0.1
-0.165,-14.765,-4.967,0.1,0.1,0.1
-0.191,-14.765,-5.241,0.1,0.1,0.1
-0.213,-14.765,-5.495,0.1,0.1,0.1
-0.226,-14.765,-5.68,0.1,0.1,0.1
-0.228,-14.765,-5.758,0.1,0.1,0.1
-0.219,-14.765,-5.728,0.1,0.1,0.1
-0.203,-14.765,-5.6,0.1,0.1,0.1
-0.18,-14.765,-5.393,0.1,0.1,0.1
-0.154,-14.765,-5.127,0.1,0.1,0.1
-0.127,-14.765,-4.823,0.1,0.1,0.1
-0.1,-14.765,-4.505,0.1,0.1,0.1
-0.076,-14.623,-4.198,0.1,0.1,0.1
-0.057,-14.39,-3.928,0.1,0.1,0.1
-0.045,-14.245,-3.724,0.1,0.1,0.1
-0.043,-14.215,-3.613,0.1,0.1,0.1
-0.051,-14.215,-3.621,0.1,0.1,0.1
-0.072,-14.215,-3.772,0.1,0.1,0.1
-0.106,-14.215,-4.087,0.1,0.1,0.1
-0.156,-14.215,-4.586,0.1,0.1,0.1
-0.222,-14.215,-5.284,0.1,0.1,0.1
-0.306,-14.39,-6.19,0.1,0.1,0.1
-0.41,-14.674,-7.304,0.1,0.1,0.1
-0.535,-15.142,-8.617,0.1,0.1,0.1
-0.682,-15.782,-10.112,0.1,0.1,0.1
-0.851,-16.635,-11.75,0.1,0.1,0.1
-1.033,-17.672,-14.033,0.1,0.1,0.1
-1.216,-18.816,-17.026,0.1,0.1,0.1
-1.391,-19.977,-20.181,0.1,0.1,0.1
-1.546,-21.059,-22.79,0.1,0.1,0.1
-1.671,-21.952,-24.649,0.1,0.1,0.1
-1.754,-22.57,-25.772,0.1,0.1,0.1
-1.785,-22.798,-26.296,0.1,0.1,0.1
-1.752,-22.798,-26.273,0.1,0.1,0.1
-1.645,-22.798,-25.655,0.1,0.1,0.1
-1.458,-22.451,-24.357,0.1,0.1,0.1
-1.205,-21.511,-22.396,0.1,0.1,0.1
-0.904,-19.964,-19.932,0.1,0.1,0.1
-0.574,-17.964,-16.614,0.1,0.1,0.1
-0.235,-15.628,-9.593,0.1,0.1,0.1
0.096,-12.506,-5.096,0.1,0.1,0.1
0.399,-8.771,-1.127,0.1,0.1,0.1
0.656,-5.606,2.609,0.1,0.1,0.1
0.848,-3.243,6.008,0.1,0.1,0.1
0.956,-1.913,9.032,0.1,0.1,0.1
0.967,-1.775,11.023,0.1,0.1,0.1
0.893,-1.775,11.923,0.1,0.1,0.1
0.749,-1.826,11.764,0.1,0.1,0.1
0.553,-2.382,10.576,0.1,0.1,0.1
0.321,-3.375,8.492,0.1,0.1,0.1
0.071,-4.698,5.538,0.1,0.1,0.1
-0.181,-6.218,1.832,0.1,0.1,0.1
-0.419,-7.787,-1.879,0.1,0.1,0.1
-0.625,-9.243,-5.567,0.1,0.1,0.1
-0.782,-10.412,-8.544,0.1,0.1,0.1
-0.878,-11.141,-10.585,0.1,0.1,0.1
-0.915,-11.43,-11.74,0.1,0.1,0.1
-0.9,-11.43,-12.449,0.1,0.1,0.1
-0.84,-11.43,-12.444,0.1,0.1,0.1
-0.739,-11.43,-11.569,0.1,0.1,0.1
-0.606,-11.129,-10.356,0.1,0.1,0.1
-0.445,-10.595,-8.891,0.1,0.1,0.1
-0.265,-9.808,-7.17,0.1,0.1,0.1
-0.071,-8.802,-5.197,0.1,0.1,0.1
0.131,-7.626,-2.991,0.1,0.1,0.1
0.334,-6.333,-0.555,0.1,0.1,0.1
0.534,-4.975,2.112,0.1,0.1,0.1
0.725,-3.601,4.987,0.1,0.1,0.1
0.904,-2.262,8.185,0.1,0.1,0.1
1.066,-0.552,11.516,0.1,0.1,0.1
1.207,1.181,14.661,0.1,0.1,0.1
1.322,2.593,17.424,0.1,0.1,0.1
1.406,3.631,19.706,0.1,0.1,0.1
1.455,4.237,21.393,0.1,0.1,0.1
1.465,4.357,22.432,0.1,0.1,0.1
1.433,4.357,22.832,0.1,0.1,0.1
1.365,4.357,22.59,0.1,0.1,0.1
1.271,4.357,21.87,0.1,0.1,0.1
1.158,4.064,20.921,0.1,0.1,0.1
1.035,3.685,19.765,0.1,0.1,0.1
0.91,3.173,18.48,0.1,0.1,0.1
0.792,2.624,17.15,0.1,0.1,0.1
0.69,2.111,15.857,0.1,0.1,0.1
0.612,1.681,14.61,0.1,0.1,0.1
0.566,1.42,13.515,0.1,0.1,0.1
0.558,1.375,12.705,0.1,0.1,0.1
0.583,1.375,12.244,0.1,0.1,0.1
0.633,1.375,12.162,0.1,0.1,0.1
0.7,1.375,12.453,0.1,0.1,0.1
0.775,1.421,13.064,0.1,0.1,0.1
0.851,1.629,13.905,0.1,0.1,0.1
0.92,1.817,14.857,0.1,0.1,0.1
0.973,1.982,15.783,0.1,0.1,0.1
1.002,2.103,16.543,0.1,0.1,0.1
1,2.103,17.003,0.1,0.1,0.1
0.961,2.103,17.053,0.1,0.1,0.1
0.888,2.103,16.67,0.1,0.1,0.1
0.789,2.068,15.877,0.1,0.1,0.1
0.67,1.742,14.717,0.1,0.1,0.1
0.538,1.257,13.225,0.1,0.1,0.1
0.398,0.423,11.415,0.1,0.1,0.1
0.258,-0.457,9.279,0.1,0.1,0.1
0.123,-1.357,6.83,0.1,0.1,0.1
0.002,-2.198,4.175,0.1,0.1,0.1
-0.101,-2.927,1.713,0.1,0.1,0.1
-0.18,-3.5,-0.432,0.1,0.1,0.1
-0.235,-3.912,-2.315,0.1,0.1,0.1
-0.269,-4.167,-3.763,0.1,0.1,0.1
-0.285,-4.284,-4.772,0.1,0.1,0.1
-0.284,-4.284,-5.386,0.1,0.1,0.1
-0.269,-4.284,-5.666,0.1,0.1,0.1
-0.242,-4.284,-5.682,0.1,0.1,0.1
-0.206,-4.284,-5.492,0.1,0.1,0.1
-0.163,-4.284,-5.147,0.1,0.1,0.1
-0.114,-4.284,-4.685,0.1,0.1,0.1
-0.062,-4.222,-4.136,0.1,0.1,0.1
-0.007,-4.071,-3.509,0.1,0.1,0.1
0.052,-3.909,-2.801,0.1,0.1,0.1
0.116,-3.734,-2.004,0.1,0.1,0.1
0.185,-3.451,-1.107,0.1,0.1,0.1
0.26,-3.142,-0.095,0.1,0.1,0.1
0.341,-2.783,1.05,0.1,0.1,0.1
0.43,-2.336,2.348,0.1,0.1,0.1
0.527,-1.841,3.819,0.1,0.1,0.1
0.633,-1.238,5.484,0.1,0.1,0.1
0.747,-0.57,7.556,0.1,0.1,0.1
0.867,0.178,9.809,0.1,0.1,0.1
0.988,0.97,12.182,0.1,0.1,0.1
1.107,1.771,14.569,0.1,0.1,0.1
1.221,2.573,16.894,0.1,0.1,0.1
1.325,3.314,19.03,0.1,0.1,0.1
1.415,3.986,20.875,0.1,0.1,0.1
1.488,4.645,22.364,0.1,0.1,0.1
1.541,5.288,23.472,0.1,0.1,0.1
1.568,5.626,24.2,0.1,0.1,0.1
1.568,5.629,24.495,0.1,0.1,0.1
1.544,5.629,24.431,0.1,0.1,0.1
1.5,5.629,24.174,0.1,0.1,0.1
1.439,5.629,23.724,0.1,0.1,0.1
1.367,5.625,23.114,0.1,0.1,0.1
1.287,5.405,22.384,0.1,0.1,0.1
1.203,5.176,21.57,0.1,0.1,0.1
1.12,4.882,20.71,0.1,0.1,0.1
1.041,4.561,19.846,0.1,0.1,0.1
0.972,4.275,19.019,0.1,0.1,0.1
0.915,3.992,18.27,0.1,0.1,0.1
0.87,3.767,17.61,0.1,0.1,0.1
0.837,3.6,16.992,0.1,0.1,0.1
0.814,3.488,16.478,0.1,0.1,0.1
0.802,3.427,16.072,0.1,0.1,0.1
0.8,3.415,15.778,0.1,0.1,0.1
0.806,3.415,15.603,0.1,0.1,0.1
0.82,3.415,15.552,0.1,0.1,0.1
0.842,3.415,15.627,0.1,0.1,0.1
0.87,3.415,15.826,0.1,0.1,0.1
0.904,3.415,16.146,0.1,0.1,0.1
0.944,3.415,16.581,0.1,0.1,0.1
0.991,3.415,17.128,0.1,0.1,0.1
1.043,3.532,17.779,0.1,0.1,0.1
1.101,3.692,18.525,0.1,0.1,0.1
1.166,3.869,19.358,0.1,0.1,0.1
1.237,4.114,20.265,0.1,0.1,0.1
1.314,4.432,21.231,0.1,0.1,0.1
1.398,4.775,22.243,0.1,0.1,0.1
1.488,5.226,23.286,0.1,0.1,0.1
1.584,5.823,24.338,0.1,0.1,0.1
1.682,7.034,25.364,0.1,0.1,0.1
1.779,8.223,26.311,0.1,0.1,0.1
1.869,9.337,27.106,0.1,0.1,0.1
1.949,10.325,27.794,0.1,0.1,0.1
2.015,11.135,28.343,0.1,0.1,0.1
2.062,11.715,28.735,0.1,0.1,0.1
2.087,12.015,28.957,0.1,0.1,0.1
2.084,12.015,28.992,0.1,0.1,0.1
2.05,12.015,28.816,0.1,0.1,0.1
1.983,12.015,28.401,0.1,0.1,0.1
1.886,12.015,27.757,0.1,0.1,0.1
1.769,11.692,26.904,0.1,0.1,0.1
1.636,11.259,25.866,0.1,0.1,0.1
1.495,10.68,24.682,0.1,0.1,0.1
1.353,9.973,23.399,0.1,0.1,0.1
1.216,9.238,22.077,0.1,0.1,0.1
1.091,8.527,20.78,0.1,0.1,0.1
0.986,7.87,19.576,0.1,0.1,0.1
0.906,7.372,18.541,0.1,0.1,0.1
0.857,7.053,17.743,0.1,0.1,0.1
0.836,6.914,17.155,0.1,0.1,0.1
0.839,6.914,16.776,0.1,0.1,0.1
0.862,6.914,16.648,0.1,0.1,0.1
0.898,6.914,16.755,0.1,0.1,0.1
0.945,6.914,17.066,0.1,0.1,0.1
0.997,6.914,17.54,0.1,0.1,0.1
1.05,6.953,18.122,0.1,0.1,0.1
1.1,7.089,18.747,0.1,0.1,0.1
1.142,7.203,19.347,0.1,0.1,0.1
1.173,7.287,19.863,0.1,0.1,0.1
1.194,7.346,20.281,0.1,0.1,0.1
1.21,7.39,20.615,0.1,0.1,0.1
1.224,7.429,20.894,0.1,0.1,0.1
1.24,7.478,21.153,0.1,0.1,0.1
1.262,7.565,21.432,0.1,0.1,0.1
1.292,7.688,21.77,0.1,0.1,0.1
1.334,7.862,22.206,0.1,0.1,0.1
1.392,8.102,22.778,0.1,0.1,0.1
1.47,8.452,23.516,0.1,0.1,0.1
1.569,8.95,24.432,0.1,0.1,0.1
1.686,9.569,25.483,0.1,0.1,0.1
1.813,10.297,26.596,0.1,0.1,0.1
1.947,11.117,27.678,0.1,0.1,0.1
2.079,11.965,28.686,0.1,0.1,0.1
2.205,13.478,29.58,0.1,0.1,0.1
2.319,14.881,30.335,0.1,0.1,0.1
2.415,16.059,30.938,0.1,0.1,0.1
2.486,16.941,31.379,0.1,0.1,0.1
2.528,17.453,31.647,0.1,0.1,0.1
2.536,17.55,31.736,0.1,0.1,0.1
