inputs,outputs,predictions,RED,GREEN,BLUE
-3.968,-54.312,-52.815,0.1,0.1,0.1
-3.994,-54.312,-53.157,0.1,0.1,0.1
-4.023,-54.312,-53.523,0.1,0.1,0.1
-4.051,-54.312,-53.895,0.1,0.1,0.1
-4.079,-54.312,-54.255,0.1,0.1,0.1
-4.105,-54.371,-54.586,0.1,0.1,0.1
-4.127,-54.432,-54.875,0.1,0.1,0.1
-4.144,-54.478,-55.109,0.1,0.1,0.1
-4.155,-54.508,-55.277,0.1,0.1,0.1
-4.158,-54.517,-55.37,0.1,0.1,0.1
-4.152,-54.517,-55.375,0.1,0.1,0.1
-4.136,-54.517,-55.283,0.1,0.1,0.1
-4.112,-54.517,-55.093,0.1,0.1,0.1
-4.081,-54.517,-54.81,0.1,0.1,0.1
-4.045,-54.517,-54.44,0.1,0.1,0.1
-4.005,-54.517,-53.991,0.1,0.1,0.1
-3.963,-54.517,-53.475,0.1,0.1,0.1
-3.921,-54.415,-52.906,0.1,0.1,0.1
-3.88,-54.282,-52.304,0.1,0.1,0.1
-3.842,-53.946,-51.696,0.1,0.1,0.1
-3.809,-53.652,-51.112,0.1,0.1,0.1
-3.782,-53.412,-50.586,0.1,0.1,0.1
-3.761,-53.223,-50.134,0.1,0.1,0.1
-3.744,-53.078,-49.763,0.1,0.1,0.1
-3.732,-52.97,-49.469,0.1,0.1,0.1
-3.724,-52.892,-49.245,0.1,0.1,0.1
-3.718,-52.839,-49.08,0.1,0.1,0.1
-3.714,-52.804,-48.963,0.1,0.1,0.1
-3.711,-52.78,-48.88,0.1,0.1,0.1
-3.709,-52.761,-48.82,0.1,0.1,0.1
-3.707,-52.74,-48.767,0.1,0.1,0.1
-3.704,-52.712,-48.711,0.1,0.1,0.1
-3.7,-52.676,-48.645,0.1,0.1,0.1
-3.695,-52.634,-48.568,0.1,0.1,0.1
-3.69,-52.586,-48.478,0.1,0.1,0.1
-3.684,-52.533,-48.379,0.1,0.1,0.1
-3.678,-52.477,-48.27,0.1,0.1,0.1
-3.672,-52.419,-48.155,0.1,0.1,0.1
-3.665,-52.36,-48.035,0.1,0.1,0.1
-3.659,-52.3,-47.911,0.1,0.1,0.1
-3.652,-52.24,-47.787,0.1,0.1,0.1
-3.646,-52.182,-47.663,0.1,0.1,0.1
-3.639,-52.122,-47.538,0.1,0.1,0.1
-3.632,-52.059,-47.408,0.1,0.1,0.1
-3.624,-51.988,-47.268,0.1,0.1,0.1
-3.615,-51.907,-47.111,0.1,0.1,0.1
-3.605,-51.813,-46.933,0.1,0.1,0.1
-3.593,-51.704,-46.726,0.1,0.1,0.1
-3.579,-51.575,-46.485,0.1,0.1,0.1
-3.562,-51.425,-46.204,0.1,0.1,0.1
-3.543,-51.25,-45.875,0.1,0.1,0.1
-3.521,-51.049,-45.499,0.1,0.1,0.1
-3.498,-50.836,-45.088,0.1,0.1,0.1
-3.476,-50.631,-44.671,0.1,0.1,0.1
-3.456,-50.451,-44.278,0.1,0.1,0.1
-3.442,-50.314,-43.945,0.1,0.1,0.1
-3.434,-50.239,-43.704,0.1,0.1,0.1
-3.434,-50.239,-43.59,0.1,0.1,0.1
-3.445,-50.239,-43.638,0.1,0.1,0.1
-3.468,-50.239,-43.884,0.1,0.1,0.1
-3.506,-50.239,-44.367,0.1,0.1,0.1
-3.559,-50.239,-45.122,0.1,0.1,0.1
-3.624,-50.239,-46.132,0.1,0.1,0.1
-3.697,-50.412,-47.343,0.1,0.1,0.1
-3.773,-50.621,-48.668,0.1,0.1,0.1
-3.849,-50.849,-50.005,0.1,0.1,0.1
-3.919,-51.139,-51.255,0.1,0.1,0.1
-3.981,-51.391,-52.336,0.1,0.1,0.1
-4.029,-51.588,-53.194,0.1,0.1,0.1
-4.059,-51.735,-53.797,0.1,0.1,0.1
-4.067,-51.776,-54.123,0.1,0.1,0.1
-4.05,-51.776,-54.156,0.1,0.1,0.1
-4.012,-51.776,-53.906,0.1,0.1,0.1
-3.957,-51.776,-53.391,0.1,0.1,0.1
-3.89,-51.776,-52.629,0.1,0.1,0.1
-3.816,-51.637,-51.641,0.1,0.1,0.1
-3.739,-51.427,-50.47,0.1,0.1,0.1
-3.665,-51.219,-49.184,0.1,0.1,0.1
-3.597,-50.941,-47.885,0.1,0.1,0.1
-3.541,-50.71,-46.692,0.1,0.1,0.1
-3.501,-50.546,-45.722,0.1,0.1,0.1
-3.481,-50.464,-45.062,0.1,0.1,0.1
-3.479,-50.454,-44.723,0.1,0.1,0.1
-3.491,-50.454,-44.669,0.1,0.1,0.1
-3.514,-50.454,-44.857,0.1,0.1,0.1
-3.544,-50.454,-45.237,0.1,0.1,0.1
-3.579,-50.454,-45.758,0.1,0.1,0.1
-3.615,-50.454,-46.359,0.1,0.1,0.1
-3.648,-50.454,-46.977,0.1,0.1,0.1
-3.675,-50.454,-47.545,0.1,0.1,0.1
-3.693,-50.494,-47.998,0.1,0.1,0.1
